# Cross-dataset type aliases for MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# system flywire_matsliah2024 / flywire_schlegel2024 / hemibrain: Sup_Table_7 of Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0) (preliminary male optic lobe -> female FlyWire matches;
#       Matsliah = FlyWire optic-lobe names (Matsliah et al. 2024), Schlegel = FlyWire whole-brain names (Schlegel et al. 2024), hemibrain = Scheffer et al. 2020 names).
# system malecns_flywireType / malecns_hemibrainType: the MaleCNS v1.0 per-cell annotation columns (CC BY, male-cns.janelia.org), majority value per type.
# tier: exact = alias identical to the MaleCNS name (1-to-1 / >=90% of annotated cells); alias = different name, 1-to-1 or >=90% of annotated cells;
#       fuzzy = n-to-1 / 1-to-n match, composite alias string, or majority < 90% (evidence gives the cardinality or the shares).
malecns_type,alias,system,tier,evidence
DNge047,DNge047,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge048,DNge048,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge049,DNge049,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge050,DNge050,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge051,DNge051,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge052,DNge052,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge053,DNge053,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge054,DNge054,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge055,DNge055,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge056,DNge056,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge057,DNge057,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge058,DNge058,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge059,DNge059,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge060,DNge060,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge061,"DNge061,DNge066",malecns_flywireType,fuzzy,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge062,DNge062,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge063,DNge063,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge064,DNge064,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge065,DNge065,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge067,DNge067,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge068,DNge068,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge069,DNge069,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge070,DNge070,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge071,DNge071,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 10/10 annotated cells (10 cells in type)
DNge072,DNge072,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge073,DNge073,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge074,DNge074,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge075,DNge075,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge076,DNge076,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge077,DNge077,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge078,DNge078,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge079,DNge079,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge080,DNge080,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge081,DNge081,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge082,DNge082,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge083,DNge083,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge084,DNge084,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge085,DNge085,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 8/8 annotated cells (8 cells in type)
DNge086,DNge086,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge087,DNge087,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge088,DNge088,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge089,DNge089,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 6/6 annotated cells (6 cells in type)
DNge090,DNge090,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge091,DNge091,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 14/14 annotated cells (14 cells in type)
DNge092,DNge092,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge093,DNge093,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge094,DNge094,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 13/13 annotated cells (13 cells in type)
DNge095,DNge095,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 3/3 annotated cells (3 cells in type)
DNge096,DNge096,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge097,DNge097,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge098,DNge098,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge099,DNge099,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge100,DNge100,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge101,DNge101,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge102,DNge102,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge103,DNge103,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge104,DNge104,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge105,DNge105,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge106,DNge106,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge107,DNge107,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge108,"DNge108,DNge118",malecns_flywireType,fuzzy,MaleCNS v1.0 annotation column flywireType: majority value in 5/5 annotated cells (5 cells in type)
DNge110,DNge110,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge111,DNge111,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 6/6 annotated cells (6 cells in type)
DNge113,DNge113,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge114,DNge114,malecns_flywireType,fuzzy,MaleCNS v1.0 annotation column flywireType: majority value in 4/6 annotated cells (6 cells in type); other values: DNge109 2
DNge115,DNge115,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 8/8 annotated cells (8 cells in type)
DNge116,DNge116,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge117,DNge117,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge119,DNge119,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge120,DNge120,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge121,DNge121,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge122,DNge122,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge123,DNge123,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge124,DNge124,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge125,DNge125,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge126,DNge126,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge127,DNge127,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge128,DNge128,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge129,DNge129,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge130,DNge130,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge131,DNge131,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge132,DNge132,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge133,DNge133,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge134,DNge134,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge135,DNge135,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge136,DNge136,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge137,DNge137,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 3/3 annotated cells (3 cells in type)
DNge138,DNge138,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge139,DNge139,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge140,DNge140,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge141,DNge141,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge142,DNge142,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge143,DNge143,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge144,DNge144,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge145,DNge145,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge146,DNge146,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge147,DNge147,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge148,DNge148,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge149,DNge149,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 1/1 annotated cells (1 cells in type)
DNge150,DNge150,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 1/1 annotated cells (1 cells in type)
DNge151,DNge151,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 1/1 annotated cells (1 cells in type)
DNge152,DNge152,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 1/1 annotated cells (1 cells in type)
DNge153,DNge153,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge154,"DNge154,DNge156",malecns_flywireType,fuzzy,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge172,DNge172,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge173,DNge173,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge174,DNge174,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge175,DNg06_a,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge176,DNge015,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge178,DNge020,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge179,DNge071,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 6/6 annotated cells (6 cells in type)
DNge180,DNge090,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge181,DNge091,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNge182,DNge102,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge183,DNge110,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNge184,DNge113,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp01,DNp01,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp02,DNp02,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp03,DNp03,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp04,DNp04,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp05,DNp05,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp06,DNp06,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp07,DNp07,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp08,DNp08,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp09,DNp09,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp10,DNp10,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp101,DNp101,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp102,DNp102,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp103,DNp103,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp104,DNp104,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp11,DNp11,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp12,DNp12,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp13,DNp13,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp14,DNp14,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp15,DNp15,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp16_a,DNp16,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp16_b,DNp16,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp17,DNp17,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 12/12 annotated cells (12 cells in type)
DNp18,DNp18,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp19,DNp19,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp20,DNp20,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp21,DNp40,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp22,DNp22,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp23,DNp23,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp24,DNp24,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp25,DNp25,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp26,DNp26,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp27,DNp27,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp28,DNp28,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp29,DNp29,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp30,DNp30,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp31,DNp31,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp32,DNp32,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp33,DNp33,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp34,DNp34,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp35,DNp35,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp36,DNp36,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp38,DNp38,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp39,DNp39,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp41,DNp41,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNp42,DNp42,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp43,DNp43,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp44,DNp44,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp45,DNp45,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp46,DNp46,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp47,DNp47,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp48,DNp48,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp49,DNp49,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
"DNp51,DNpe019","DNp51,DNpe019",malecns_flywireType,fuzzy,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNp52,DNp52,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp53,DNp53,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp54,DNp54,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp55,DNp55,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp56,DNp56,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp57,DNp57,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp58,DNp58,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp59,DNp59,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp60,DNp60,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp62,DNp62,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp63,DNp63,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp64,DNp64,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp65,DNp65,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp66,DNp66,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp67,DNp67,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp68,DNp68,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp69,DNp69,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp70,DNp70,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp71,DNp71,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp72,DNp72,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNp73,DNp73,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe001,DNpe001,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe002,DNpe002,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe003,DNpe003,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe004,DNpe004,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe005,DNpe005,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe006,DNpe006,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe007,DNpe007,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe008,DNpe008,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 18/19 annotated cells (19 cells in type); other values: DNpe054 1
DNpe009,DNpe009,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 6/6 annotated cells (6 cells in type)
DNpe010,DNpe010,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe011,DNpe011,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe012_a,DNpe012,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe012_b,DNpe012,malecns_flywireType,alias,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe013,DNpe013,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 2/2 annotated cells (2 cells in type)
DNpe014,DNpe014,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 4/4 annotated cells (4 cells in type)
DNpe015,DNpe015,malecns_flywireType,exact,MaleCNS v1.0 annotation column flywireType: majority value in 11/11 annotated cells (11 cells in type)
