bodyId,type,side,seed_bodyId,hex1,hex2,hex_source,seed_displaced_for_injectivity,seed_assignment_distance
720575941437574719,Mi1,R,720575941437574719,-7,4,connectivity_candidate,False,0.492907186
720575941437783007,Mi1,R,720575941437783007,-8,2,connectivity_candidate,False,0.15722166
720575941438128684,Mi1,R,720575941438128684,-1,-15,connectivity_candidate,True,0.752330359
720575941438246188,Mi1,R,720575941438246188,-13,-5,connectivity_candidate,False,0.218754909
720575941439177183,Mi1,R,720575941439177183,-6,-14,connectivity_candidate,True,0.829898796
720575941439202322,Mi1,R,720575941439202322,-7,9,connectivity_candidate,False,0.505051437
720575941439538523,Mi1,R,720575941439538523,1,5,connectivity_candidate,False,0.0302693572
720575941439665938,Mi1,R,720575941439665938,-4,1,connectivity_candidate,False,0.0410258836
720575941439697964,Mi1,R,720575941439697964,-10,-13,connectivity_candidate,True,0.687632277
720575941439735503,Mi1,R,720575941439735503,-17,-6,connectivity_candidate,True,0.774604354
720575941439749676,Mi1,R,720575941439749676,9,9,connectivity_candidate,False,0.0372484048
720575941439831503,Mi1,R,720575941439831503,-9,-9,connectivity_candidate,False,0.0480010493
720575941440279503,Mi1,R,720575941440279503,12,16,connectivity_candidate,False,0.0411372237
720575941440390444,Mi1,R,720575941440390444,16,14,connectivity_candidate,False,0.064793369
720575941440417371,Mi1,R,720575941440417371,5,2,connectivity_candidate,False,0.0342435434
720575941440450860,Mi1,R,720575941440450860,13,3,connectivity_candidate,False,0.0330499612
720575941440821215,Mi1,R,720575941440821215,9,-1,connectivity_candidate,False,0.0373022447
720575941441128895,Mi1,R,720575941441128895,8,2,connectivity_candidate,False,0.0343378806
720575941442585691,Mi1,R,720575941442585691,-3,13,connectivity_candidate,False,0.431304369
720575941443050922,Mi1,R,720575941443050922,5,-4,connectivity_candidate,False,0.03693665
720575941443054506,Mi1,R,720575941443054506,10,7,connectivity_candidate,False,0.0328323584
720575941443056042,Mi1,R,720575941443056042,5,4,connectivity_candidate,False,0.0337205907
720575941443560106,Mi1,R,720575941443560106,-9,-8,connectivity_candidate,False,0.0453776419
720575941443656874,Mi1,R,720575941443656874,-9,-5,connectivity_candidate,False,0.0489585023
720575941443679951,Mi1,R,720575941443679951,1,-10,connectivity_candidate,False,0.0220829753
720575941445851412,Mi1,R,720575941445851412,1,6,connectivity_candidate,False,0.0292230143
720575941446769834,Mi1,R,720575941446769834,16,11,connectivity_candidate,False,0.399920407
720575941447834549,Mi1,R,720575941447834549,-2,15,connectivity_candidate,False,0.412008215
720575941448342197,Mi1,R,720575941448342197,-13,-12,connectivity_candidate,False,0.284715268
720575941448447822,Mi1,R,720575941448447822,-10,-7,connectivity_candidate,False,0.0499902947
720575941448457821,Mi1,R,720575941448457821,-12,-4,connectivity_candidate,True,0.536662795
720575941448504654,Mi1,R,720575941448504654,15,3,connectivity_candidate,False,0.0312561628
720575941448506446,Mi1,R,720575941448506446,4,-5,connectivity_candidate,False,0.0363103083
720575941448601181,Mi1,R,720575941448601181,-8,6,connectivity_candidate,False,0.501253387
720575941448602461,Mi1,R,720575941448602461,-1,6,connectivity_candidate,False,0.022953074
720575941449093813,Mi1,R,720575941449093813,9,3,connectivity_candidate,False,0.0337970857
720575941449103438,Mi1,R,720575941449103438,-13,-16,connectivity_candidate,False,0.414255069
