# MaleCNS v1.0 type map, source name -> MaleCNS type (same rows as type_aliases.csv, source-keyed). Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.0.0; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class.
source_name,malecns_type,tier,evidence,n_cells_malecns,system
DNge125,DNge125,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNnt020,DNge125,alias,MaleCNS v1.0 body-annotations mancType='DNnt020' on 2/2 cells,2,manc
DNge126,DNge126,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNit003,DNge126,alias,MaleCNS v1.0 body-annotations mancType='DNit003' on 2/2 cells,2,manc
DNge127,DNge127,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl050,DNge127,alias,MaleCNS v1.0 body-annotations mancType='DNxl050' on 2/2 cells,2,manc
DNge128,DNge128,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl093,DNge128,alias,MaleCNS v1.0 body-annotations mancType='DNxl093' on 2/2 cells,2,manc
DNge129,DNge129,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl120,DNge129,alias,MaleCNS v1.0 body-annotations mancType='DNxl120' on 2/2 cells,2,manc
DNge130,DNge130,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn129,DNge130,alias,MaleCNS v1.0 body-annotations mancType='DNxn129' on 2/2 cells,2,manc
DNge131,DNge131,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl115,DNge131,alias,MaleCNS v1.0 body-annotations mancType='DNxl115' on 2/2 cells,2,manc
DNge132,DNge132,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn151,DNge132,alias,MaleCNS v1.0 body-annotations mancType='DNxn151' on 2/2 cells,2,manc
DNge133,DNge133,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn127,DNge133,alias,MaleCNS v1.0 body-annotations mancType='DNxn127' on 2/2 cells,2,manc
DNge134,DNge134,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn073,DNge134,alias,MaleCNS v1.0 body-annotations mancType='DNxn073' on 2/2 cells,2,manc
DNge135,DNge135,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn172,DNge135,alias,MaleCNS v1.0 body-annotations mancType='DNxn172' on 2/2 cells,2,manc
DNge136,DNge136,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",4,flywire
DNxn179,DNge136,alias,MaleCNS v1.0 body-annotations mancType='DNxn179' on 4/4 cells,4,manc
DNge137,DNge137,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",3,flywire
DNxn126,DNge137,alias,MaleCNS v1.0 body-annotations mancType='DNxn126' on 3/3 cells,3,manc
DNge138,DNge138,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
Babski 2024: OA-VUMd1,DNge138,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNxn156,DNge138,alias,MaleCNS v1.0 body-annotations mancType='DNxn156' on 2/2 cells,2,manc
DNge139,DNge139,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn141,DNge139,alias,MaleCNS v1.0 body-annotations mancType='DNxn141' on 2/2 cells,2,manc
DNge140,DNge140,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn185,DNge140,alias,MaleCNS v1.0 body-annotations mancType='DNxn185' on 2/2 cells,2,manc
DNge141,DNge141,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn152,DNge141,alias,MaleCNS v1.0 body-annotations mancType='DNxn152' on 2/2 cells,2,manc
DNge142,DNge142,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl038,DNge142,alias,MaleCNS v1.0 body-annotations mancType='DNxl038' on 2/2 cells,2,manc
DNge143,DNge143,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNnt016,DNge143,alias,MaleCNS v1.0 body-annotations mancType='DNnt016' on 2/2 cells,2,manc
DNge144,DNge144,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl081,DNge144,alias,MaleCNS v1.0 body-annotations mancType='DNxl081' on 2/2 cells,2,manc
DNge145,DNge145,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",4,flywire
DNxn115,DNge145,alias,MaleCNS v1.0 body-annotations mancType='DNxn115' on 4/4 cells,4,manc
DNge146,DNge146,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNfl032,DNge146,alias,MaleCNS v1.0 body-annotations mancType='DNfl032' on 2/2 cells,2,manc
DNge147,DNge147,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNfl026,DNge147,alias,MaleCNS v1.0 body-annotations mancType='DNfl026' on 2/2 cells,2,manc
DNge148,DNge148,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxn147,DNge148,alias,MaleCNS v1.0 body-annotations mancType='DNxn147' on 2/2 cells,2,manc
DNge149,DNge149,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",1,flywire
Babski 2024: OA-VUMd2,DNge149,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",1,literature
DNxl126,DNge149,alias,MaleCNS v1.0 body-annotations mancType='DNxl126' on 1/1 cells,1,manc
DNge150,DNge150,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",1,flywire
Babski 2024: OA-VUMd3,DNge150,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",1,literature
DNxn103,DNge150,alias,MaleCNS v1.0 body-annotations mancType='DNxn103' on 1/1 cells,1,manc
DNge151,DNge151,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",1,flywire
DNad005,DNge151,alias,MaleCNS v1.0 body-annotations mancType='DNad005' on 1/1 cells,1,manc
DNge152,DNge152,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",1,flywire
Babski 2024: OA-VUMd2,DNge152,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",1,literature
DNut059,DNge152,alias,MaleCNS v1.0 body-annotations mancType='DNut059' on 1/1 cells,1,manc
DNge153,DNge153,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNxl118,DNge153,alias,MaleCNS v1.0 body-annotations mancType='DNxl118' on 2/2 cells,2,manc
DNge154,DNge154,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 1 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNge156,DNge154,alias,"MaleCNS v1.0 body-annotations flywireType='DNge154,DNge156' on 2/2 cells; MaleCNS 1 : FlyWire 2 (merged types)",2,flywire
DNut066,DNge154,alias,MaleCNS v1.0 body-annotations mancType='DNut066' on 2/2 cells,2,manc
DNge172,DNge172,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",4,flywire
Sterne 2021: mute,DNge172,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",4,literature
DNad004,DNge172,alias,MaleCNS v1.0 body-annotations mancType='DNad004' on 1/4 cells,4,manc
DNad006,DNge172,alias,MaleCNS v1.0 body-annotations mancType='DNad006' on 3/4 cells,4,manc
DNge173,DNge173,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
Shiu 2022: Bract 2,DNge173,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNfl021,DNge173,alias,MaleCNS v1.0 body-annotations mancType='DNfl021' on 2/2 cells,2,manc
DNge174,DNge174,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
Shiu 2022: Bract 1,DNge174,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNfl047,DNge174,alias,MaleCNS v1.0 body-annotations mancType='DNfl047' on 2/2 cells,2,manc
DNg06_a,DNge175,alias,MaleCNS v1.0 body-annotations flywireType='DNg06_a' on 2/2 cells; name not in Schlegel 2024 SD1 v3.0.0 cell_type list; NAME COLLISION: a FlyWire type named 'DNge175' exists but MaleCNS maps this type elsewhere,2,flywire
Cachero 2010: pSG-b,DNge175,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNut057,DNge175,alias,MaleCNS v1.0 body-annotations mancType='DNut057' on 2/2 cells,2,manc
DNge015,DNge176,alias,MaleCNS v1.0 body-annotations flywireType='DNge015' on 2/2 cells,2,flywire
Cachero 2010: pSG-b,DNge176,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNut069,DNge176,alias,MaleCNS v1.0 body-annotations mancType='DNut069' on 2/2 cells,2,manc
DNge020,DNge178,alias,MaleCNS v1.0 body-annotations flywireType='DNge020' on 2/2 cells,2,flywire
DNfl022,DNge178,alias,MaleCNS v1.0 body-annotations mancType='DNfl022' on 2/2 cells,2,manc
DNge071,DNge179,alias,MaleCNS v1.0 body-annotations flywireType='DNge071' on 6/6 cells,6,flywire
DNnt026,DNge179,alias,MaleCNS v1.0 body-annotations mancType='DNnt026' on 6/6 cells,6,manc
DNge090,DNge180,alias,MaleCNS v1.0 body-annotations flywireType='DNge090' on 2/2 cells,2,flywire
DNxn194,DNge180,alias,MaleCNS v1.0 body-annotations mancType='DNxn194' on 2/2 cells,2,manc
DNge091,DNge181,alias,MaleCNS v1.0 body-annotations flywireType='DNge091' on 4/4 cells,4,flywire
Cachero 2010: aSG-a,DNge181,alias,Schlegel 2024 SD1 v3.0.0 synonyms of FlyWire type DNge091,4,literature
Cachero 2010:aSG-a,DNge181,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",4,literature
DNut048,DNge181,alias,MaleCNS v1.0 body-annotations mancType='DNut048' on 4/4 cells,4,manc
DNge102,DNge182,alias,MaleCNS v1.0 body-annotations flywireType='DNge102' on 2/2 cells,2,flywire
DNxn165,DNge182,alias,MaleCNS v1.0 body-annotations mancType='DNxn165' on 2/2 cells,2,manc
DNge110,DNge183,alias,MaleCNS v1.0 body-annotations flywireType='DNge110' on 2/2 cells,2,flywire
DNut067,DNge183,alias,MaleCNS v1.0 body-annotations mancType='DNut067' on 2/2 cells,2,manc
DNge113,DNge184,alias,MaleCNS v1.0 body-annotations flywireType='DNge113' on 2/2 cells,2,flywire
Cachero 2010: aSG-a,DNge184,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNxn115,DNge184,alias,MaleCNS v1.0 body-annotations mancType='DNxn115' on 2/2 cells,2,manc
DNp01,DNp01,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
Giant Fiber,DNp01,alias,MaleCNS v1.0 body-annotations hemibrainType='Giant Fiber' on 2/2 cells,2,hemibrain
Kennedy and Broadie 2018: GF,DNp01,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp01,DNp01,exact,MaleCNS v1.0 body-annotations mancType='DNp01' on 2/2 cells,2,manc
DNp02,DNp02,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp02,DNp02,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Matsuo 2016: P3b,DNp02,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp02,DNp02,exact,MaleCNS v1.0 body-annotations mancType='DNp02' on 2/2 cells,2,manc
DNp03,DNp03,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp03,DNp03,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp03,DNp03,exact,MaleCNS v1.0 body-annotations mancType='DNp03' on 2/2 cells,2,manc
DNp04,DNp04,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp04,DNp04,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp04,DNp04,exact,MaleCNS v1.0 body-annotations mancType='DNp04' on 2/2 cells,2,manc
DNp05,DNp05,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp05,DNp05,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Matsuo 2016: AMMC-Db2,DNp05,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp05,DNp05,exact,MaleCNS v1.0 body-annotations mancType='DNp05' on 2/2 cells,2,manc
DNp06,DNp06,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp06,DNp06,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Matsuo 2016: AMMC-Di5,DNp06,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp06,DNp06,exact,MaleCNS v1.0 body-annotations mancType='DNp06' on 2/2 cells,2,manc
DNp07,DNp07,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp07,DNp07,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp07,DNp07,exact,MaleCNS v1.0 body-annotations mancType='DNp07' on 2/2 cells,2,manc
DNp08,DNp08,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
PS271,DNp08,alias,MaleCNS v1.0 body-annotations hemibrainType='PS271' on 2/2 cells,2,hemibrain
DNp08,DNp08,exact,MaleCNS v1.0 body-annotations mancType='DNp08' on 2/2 cells,2,manc
DNp09,DNp09,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp09,DNp09,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp09,DNp09,exact,MaleCNS v1.0 body-annotations mancType='DNp09' on 2/2 cells,2,manc
DNp10,DNp10,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp10,DNp10,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp10,DNp10,exact,MaleCNS v1.0 body-annotations mancType='DNp10' on 2/2 cells,2,manc
DNp101,DNp101,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
CL334,DNp101,alias,MaleCNS v1.0 body-annotations hemibrainType='CL334' on 2/2 cells,2,hemibrain
DNxn137,DNp101,alias,MaleCNS v1.0 body-annotations mancType='DNxn137' on 2/2 cells,2,manc
DNp102,DNp102,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
PS212,DNp102,alias,MaleCNS v1.0 body-annotations hemibrainType='PS212' on 2/2 cells,2,hemibrain
DNxn176,DNp102,alias,MaleCNS v1.0 body-annotations mancType='DNxn176' on 2/2 cells,2,manc
DNp103,DNp103,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
PVLP119,DNp103,alias,MaleCNS v1.0 body-annotations hemibrainType='PVLP119' on 2/2 cells,2,hemibrain
DNp103,DNp103,exact,MaleCNS v1.0 body-annotations mancType='DNp103' on 2/2 cells,2,manc
DNp104,DNp104,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
CL324,DNp104,alias,MaleCNS v1.0 body-annotations hemibrainType='CL324' on 2/2 cells,2,hemibrain
DNxn134,DNp104,alias,MaleCNS v1.0 body-annotations mancType='DNxn134' on 2/2 cells,2,manc
DNp11,DNp11,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp11,DNp11,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Matsuo 2016: AMMC-Db3,DNp11,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp11,DNp11,exact,MaleCNS v1.0 body-annotations mancType='DNp11' on 2/2 cells,2,manc
DNp11,DNp11,exact,"Nern 2025 Supplementary Table 1 row: 1 cells, group other, predicted NT unclear",2,optic_inventory
DNp12,DNp12,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
WED105,DNp12,alias,MaleCNS v1.0 body-annotations hemibrainType='WED105' on 2/2 cells,2,hemibrain
DNp12,DNp12,exact,MaleCNS v1.0 body-annotations mancType='DNp12' on 2/2 cells,2,manc
DNp13,DNp13,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp13,DNp13,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Kimura 2015: pMN1,DNp13,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
Ruta 2010: DN1,DNp13,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp13,DNp13,exact,MaleCNS v1.0 body-annotations mancType='DNp13' on 2/2 cells,2,manc
DNp14,DNp14,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
SMP585,DNp14,alias,MaleCNS v1.0 body-annotations hemibrainType='SMP585' on 2/2 cells,2,hemibrain
DNp14,DNp14,exact,MaleCNS v1.0 body-annotations mancType='DNp14' on 2/2 cells,2,manc
DNp15,DNp15,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp15,DNp15,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Suver 2016: DNHS1,DNp15,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp15,DNp15,exact,MaleCNS v1.0 body-annotations mancType='DNp15' on 2/2 cells,2,manc
DNp16,DNp16_a,alias,MaleCNS v1.0 body-annotations flywireType='DNp16' on 2/2 cells,2,flywire
DNp16,DNp16_a,alias,MaleCNS v1.0 body-annotations hemibrainType='DNp16' on 2/2 cells,2,hemibrain
DNp16,DNp16_a,alias,MaleCNS v1.0 body-annotations mancType='DNp16' on 2/2 cells,2,manc
DNp16,DNp16_b,alias,MaleCNS v1.0 body-annotations flywireType='DNp16' on 2/2 cells,2,flywire
DNp16,DNp16_b,alias,MaleCNS v1.0 body-annotations hemibrainType='DNp16' on 2/2 cells,2,hemibrain
DNut024,DNp16_b,alias,MaleCNS v1.0 body-annotations mancType='DNut024' on 2/2 cells,2,manc
DNp17,DNp17,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 12 FlyWire cells); MaleCNS flywireType agrees",12,flywire
DNp17,DNp17,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 9 hemibrain bodies); MaleCNS hemibrainType agrees",12,hemibrain
17,DNp17,alias,MaleCNS v1.0 body-annotations hemibrainType='DNp16/17' on 2/12 cells; MaleCNS 1 : hemibrain 2 (merged types),12,hemibrain
DNp16,DNp17,alias,MaleCNS v1.0 body-annotations hemibrainType='DNp16/17' on 2/12 cells; MaleCNS 1 : hemibrain 2 (merged types),12,hemibrain
DNp17,DNp17,exact,MaleCNS v1.0 body-annotations mancType='DNp17' on 12/12 cells,12,manc
DNp18,DNp18,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp18,DNp18,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Matsuo 2016: AMMC-Di3,DNp18,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp18,DNp18,exact,MaleCNS v1.0 body-annotations mancType='DNp18' on 2/2 cells,2,manc
DNp19,DNp19,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp19,DNp19,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Cachero 2010: pMP-g,DNp19,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp19,DNp19,exact,MaleCNS v1.0 body-annotations mancType='DNp19' on 2/2 cells,2,manc
DNp20,DNp20,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp20,DNp20,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
Dorkenwald 2024: DNOVS1,DNp20,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp20,DNp20,exact,MaleCNS v1.0 body-annotations mancType='DNp20' on 2/2 cells,2,manc
DNp40,DNp21,alias,MaleCNS v1.0 body-annotations flywireType='DNp40' on 2/2 cells,2,flywire
PS236,DNp21,alias,MaleCNS v1.0 body-annotations hemibrainType='PS236' on 2/2 cells,2,hemibrain
DNp21,DNp21,exact,MaleCNS v1.0 body-annotations mancType='DNp21' on 2/2 cells,2,manc
DNp22,DNp22,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
hb1560471374,DNp22,alias,"MaleCNS v1.0 hemibrainType='(hb1560471374)' on 1/2 cells: untyped hemibrain body id, no hemibrain type",2,hemibrain_body
Dorkenwald 2024: DNOVS2,DNp22,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
DNp22,DNp22,exact,MaleCNS v1.0 body-annotations mancType='DNp22' on 2/2 cells,2,manc
DNp23,DNp23,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp23,DNp23,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp23,DNp23,exact,MaleCNS v1.0 body-annotations mancType='DNp23' on 2/2 cells,2,manc
DNp24,DNp24,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
DNp24,DNp24,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
DNp24,DNp24,exact,MaleCNS v1.0 body-annotations mancType='DNp24' on 2/2 cells,2,manc
