# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
CB3657,Cachero 2010: aIP-b,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB3660,CB3660,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3660,AVLP057,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='AVLP057,AVLP058' on 5/5 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3660,AVLP058,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='AVLP057,AVLP058' on 5/5 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3661,CB3661,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3664,CB3664,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3666,CB3666,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3667,CB3667,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3671,CB3671,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3671,SLP229,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='SLP229' on 2/2 cells
CB3673a,CB3673a,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3673b,CB3673b,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3676,CB3676,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3679,CB3679,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3679,ALLN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 1/1 cells
CB3682,CB3682,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3683,CB3683,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3684,CB3684,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3690,CB3690,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3691,CB3691,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3692,CB3692,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3697,CB3697,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3710,CB3710,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3724,CB3724,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3727,CB3727,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3728,CB3728,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB3729,CB3729,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3732,CB3732,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3733,CB3733,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3734,CB3734,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3738,CB3738,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3739,CB3739,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CB3740,CB3740,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB3741,CB3741,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3741,fru-F-200171,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type CB3741
CB3742,CB3742,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3743,CB3743,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3744,CB3744,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3745,CB3745,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3746,CB3746,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3747,CB3747,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3748,CB3748,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3754,CB3754,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3754,PLP050,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='PLP40,PLP050' on 3/3 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3754,PLP40,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='PLP40,PLP050' on 3/3 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3758,CB3758,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3759,CB3759,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3760,CB3760,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB3762,CB3762,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3768,CB3768,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CB3768,SMP363,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP363,SMP364' on 7/7 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3768,SMP364,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP363,SMP364' on 7/7 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB3782,CB3782,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3784,CB3784,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3788,CB3788,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3789,CB3789,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3791,CB3791,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3798,CB3798,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3863,CB3863,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3865,CB3865,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
CB3866,CB3866,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3869,CB3869,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3870,CB3870,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3873,CB3873,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 7 FlyWire cells); MaleCNS flywireType agrees"
CB3874,CB3874,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3879,CB3879,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3895,CB3895,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CB3900,CB3900,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3906,CB3906,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3907,CB3907,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3908,CB3908,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB3909,CB3909,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3909,Cachero 2010: aIP-g,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type CB3909
CB3909,Yu 2010: pIP6,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type CB3909
CB3910,CB3910,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3910,Cachero 2010: aIP-g,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type CB3910
CB3910,Yu 2010: pIP6,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type CB3910
CB3930,CB3930,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3931,CB3931,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB3932,CB3932,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3951,CB3951,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CB3953,CB3953,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB3959,CB3959,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3977,CB3977,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB3984,Cachero 2010: aSP-i,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB3984,Yu 2010: aSP11,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB3992,CB3992,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CB4052,AVLP386,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='AVLP386,AVLP388' on 2/2 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4052,AVLP388,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='AVLP386,AVLP388' on 2/2 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4054,CB1812,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1812' on 2/2 cells
CB4064,Cachero 2010: pSG-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4073,CB4073,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 1 FlyWire cells); MaleCNS flywireType agrees"
CB4083,ALLN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 15/15 cells
CB4091,Cachero 2010: pSP-b,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4091,Yu 2010: pSP2/3,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4094,CB4094,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 1 FlyWire cells); MaleCNS flywireType agrees"
CB4103,CB4103,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 1 FlyWire cells); MaleCNS flywireType agrees"
CB4105,CB4105,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 1 FlyWire cells); MaleCNS flywireType agrees"
CB4112,PLP050,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='PLP40,PLP050' on 2/11 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4112,PLP40,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='PLP40,PLP050' on 2/11 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4130,CB4130,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 12 FlyWire cells); MaleCNS flywireType agrees"
CB4130,SLP279,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SLP279,SLP301' on 11/11 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4130,SLP301,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SLP279,SLP301' on 11/11 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4141,CB4141,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
CB4159,CB4159,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB4162,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4163,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4168,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4169,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4176,CB4176,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CB4176,SAD015,hemibrain,fuzzy,,"rule transitive: MaleCNS->FlyWire 'CB4176' (exact) -> Schlegel 2024 SD1 hemibrain_type 'SAD015,SAD018' (majority over FlyWire cells)"
CB4176,SAD018,hemibrain,fuzzy,,"rule transitive: MaleCNS->FlyWire 'CB4176' (exact) -> Schlegel 2024 SD1 hemibrain_type 'SAD015,SAD018' (majority over FlyWire cells)"
CB4176,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CB4183,SMP292,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP292,SMP293,SMP584' on 4/4 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4183,SMP293,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP292,SMP293,SMP584' on 4/4 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4183,SMP584,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP292,SMP293,SMP584' on 4/4 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4193,CB4193,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB4198,CB4198,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB4205,SMP484,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='SMP484' on 7/7 cells
CB4208,LHAD1b2_a,flywire,alias,unresolvable,"MaleCNS v1.0 body-annotations flywireType='LHAD1b2_a,LHAD1b2_c' on 9/9 cells; MaleCNS 1 : FlyWire 2 (merged types); name not in Schlegel 2024 SD1 v3.1.0 cell_type list"
CB4208,LHAD1b2_c,flywire,alias,unresolvable,"MaleCNS v1.0 body-annotations flywireType='LHAD1b2_a,LHAD1b2_c' on 9/9 cells; MaleCNS 1 : FlyWire 2 (merged types); name not in Schlegel 2024 SD1 v3.1.0 cell_type list"
CB4209,LHAD1b2_a,flywire,alias,unresolvable,"MaleCNS v1.0 body-annotations flywireType='LHAD1b2_a,LHAD1b2_c' on 8/8 cells; MaleCNS 1 : FlyWire 2 (merged types); name not in Schlegel 2024 SD1 v3.1.0 cell_type list"
CB4209,LHAD1b2_c,flywire,alias,unresolvable,"MaleCNS v1.0 body-annotations flywireType='LHAD1b2_a,LHAD1b2_c' on 8/8 cells; MaleCNS 1 : FlyWire 2 (merged types); name not in Schlegel 2024 SD1 v3.1.0 cell_type list"
CB4220,CB4220,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB4220,SLP169,hemibrain,fuzzy,,rule transitive: MaleCNS->FlyWire 'CB4220' (exact) -> Schlegel 2024 SD1 hemibrain_type 'SLP169' (majority over FlyWire cells)
CB4241,CB4241,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB4242,CB4242,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 12 FlyWire cells); MaleCNS flywireType agrees"
CB4242,SMP259,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP259,SMP260,SMP263' on 14/14 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4242,SMP260,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP259,SMP260,SMP263' on 14/14 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4242,SMP263,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP259,SMP260,SMP263' on 14/14 cells; MaleCNS 1 : hemibrain 3 (merged types)"
CB4243,CB4243,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 10 FlyWire cells); MaleCNS flywireType agrees"
CB4243,SMP264,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP264,SMP265' on 10/10 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4243,SMP265,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='SMP264,SMP265' on 10/10 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CB4245,CB4245,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
CB4246,CB4246,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CB4246,mechanosensory_tbc,malecns_class,class,,MaleCNS v1.0 body-annotations class on 1/2 cells
CB4247,CB4247,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 1 FlyWire cells); MaleCNS flywireType agrees"
CB4248,CB4248,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CB4248,SAD016,hemibrain,fuzzy,,rule transitive: MaleCNS->FlyWire 'CB4248' (exact) -> Schlegel 2024 SD1 hemibrain_type 'SAD016' (majority over FlyWire cells)
CB4248,Cachero 2010: aIP-a,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
CEM,CEM,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
CL001,CL001,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL001,CL001,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL002,CL002,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL002,CL002,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL003,CL003,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL003,CL003,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL004,CL004,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
CL004,CL004,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
CL005,CL005,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
CL005,CB3957,flywire,alias,unresolvable;cb_placeholder,MaleCNS v1.0 body-annotations flywireType='CB3957' on 2/5 cells; name not in Schlegel 2024 SD1 v3.1.0 cell_type list
CL005,CL005,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
CL006,CL006,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
CL006,CL006,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
CL007,CL007,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL007,CL007,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL008,CL008,flywire,exact,merged_list_only,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL008,CL009,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CL008,CL009' on 4/4 cells; MaleCNS 1 : FlyWire 2 (merged types)"
CL008,CL008,hemibrain,exact,merged_list_only,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL008,CL009,hemibrain,alias,,"MaleCNS v1.0 body-annotations hemibrainType='CL008,CL009' on 4/4 cells; MaleCNS 1 : hemibrain 2 (merged types)"
CL010,CL010,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL010,CL010,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
CL011,CL011,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
CL011,CL011,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
