# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
ALIN1,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 4/4 cells
ALIN2,ALIN2,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALIN2,ALIN2,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
ALIN2,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALIN3,ALIN3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
ALIN3,ALIN3,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
ALIN3,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 4/4 cells
ALIN4,ALIN4,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALIN4,lLN7,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='lLN7' on 2/2 cells
ALIN4,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALIN5,ALIN5,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALIN5,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALIN6,ALIN6,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
