# Özel et al. 2021 Nature 589:88-95 (doi:10.1038/s41586-020-2879-3); GEO GSE142787 (SuperSeries GSE142789).
# Adult timepoint only: 109,743 cells, female Canton-S 1-3 days old (male libraries removed by the authors), 10x v2.
# One row per adult cluster (199 columns of the GEO sheet: 193 final clusters incl. P70/P50 backprojections 221-235).
# Gene symbols are the plan's names; the source build (BDGP6.88) names differ for ChAT (=Cha), KaiR1D (=CG3822),
# Octalpha2R (=CG18208); mAChR-C (CG7918) is absent from the source gene set -> NaN. Built by scripts/build_ozel2021_tables.py.
# UNIT: mixture-model probability that the gene is expressed in the cluster (0-1; ~fraction of cells ON),
# sheet Adult_MM_final of GSE142787_Mixture_modeling.xlsx (Özel 2021 Methods 'mixture modelling').
source_name,source_cluster,map_tier,ChAT,VAChT,Gad1,VGAT,VGlut,Hdc,ple,DAT,Tdc2,Tbh,Trh,SerT,nAChRalpha1,nAChRalpha2,nAChRalpha3,nAChRalpha4,nAChRalpha5,nAChRalpha6,nAChRalpha7,nAChRbeta1,nAChRbeta2,nAChRbeta3,Rdl,Lcch3,Grd,GluClalpha,KaiR1D,GluRIA,GluRIB,Nmdar1,Nmdar2,HisCl1,ort,mAChR-A,mAChR-B,mAChR-C,GABA-B-R1,GABA-B-R2,GABA-B-R3,mGluR,Dop1R1,Dop1R2,Dop2R,DopEcR,Oamb,Octbeta1R,Octbeta2R,Octbeta3R,Octalpha2R,5-HT1A,5-HT1B,5-HT2A,5-HT2B,5-HT7
13,13,unmatched,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.96,0.0,1.0,0.99,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85,0.01,0.45,0.0,0.0,0.0
Dm1,14,exact,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,1.0,0.04,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Dm10,15,exact,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.37,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.93,0.0,0.99,0.97,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64,0.99,1.0,0.96,0.0,0.0
16,16,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.98,1.0,0.02,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
17,17,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.99,0.97,0.0,0.93,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.99,0.99,1.0,1.0,0.0,1.0,0.0,0.0,0.98,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.43,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.13,0.98,1.0,1.0,0.0,0.0
Dm8,19,class,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.64,1.0,1.0,0.0,0.92,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0
20,20,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.49,0.39,0.0,0.43,0.0,0.0,0.0,0.01,,0.0,1.0,0.0,1.0,0.0,0.01,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.86,0.23,1.0,0.0,0.0
21,21,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74,0.0,0.98,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.84,0.0,0.01,0.03,0.98,0.16,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.18,0.02,0.0,1.0,1.0,1.0,1.0,0.0,0.03,0.6,0.81,0.0,0.14,0.0,0.0
22,22,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.01,0.99,0.06,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01,1.0,0.0,0.0,0.0
23,23,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,1.0,1.0,0.01,1.0,0.01,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06,0.72,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.99,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.88,0.0,0.0,0.0
24,24,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.0,0.44,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.91,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.16,0.0,0.0,0.0
26,26,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.18,1.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LC14,27,class,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0,0.8,0.01,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.59,0.81,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,1.0,0.0,0.99,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
29,29,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.99,0.0,1.0,1.0,0.0,0.98,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99,1.0,1.0,0.01,0.0,0.0,0.0
30,30,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0,0.99,0.31,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.98,0.78,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.94,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
Mi15,31,exact,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.79,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
32,32,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.05,0.07,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.98,0.99,0.92,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0
Mi9,33,exact,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06,1.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,0.0,0.0,0.0,0.03,0.0,0.1,1.0,0.0,0.01
Tm5c,34,exact,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.01,0.03,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,36,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.83,0.0,1.0,1.0,0.0,1.0,0.91,0.0,1.0,0.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.82,0.0,0.01,0.98,0.0,0.0,1.0,1.0,1.0
37,37,unmatched,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,1.0,0.0,0.02,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
