# Davis et al. 2020 eLife 9:e50901, GEO GSE116969 (Davis FP, Nern A, Picard S, Reiser MB, Rubin GM, Eddy SR, Henry GL; CC-BY 4.0). One row per Davis cell type (source_name as in GSE116969_dataTable4 / 7b column headers and supp. file 1A 'celltype'). <gene>_tpm = TPM, cell-type mean over QC-pass samples (GSE116969_dataTable4.genes_x_cells_TPM.coding_genes_QCpass; TAPIN-seq / INTACT nuclear RNA, ENSEMBL r91 / FlyBase 2017_04 gene models); for qc = suboptimal_only the mean of that driver's QC-fail samples in dataTable3 (use with caution). <gene>_p_on = probability the gene is in the 'on' component of Davis's per-gene bimodal mixture model (dataTable7b); NaN if the gene was not modeled (< 10 TPM in every sample) or the cell has no QC-pass sample. 54 panel genes; symbols follow the task list; source symbols differ for KaiR1D (= CG3822, FBgn0038837; round 1 wrongly used CG8916 = FBgn0030707 / Lcch-14A) and Octalpha2R (= CG18208, FBgn0038653). davis_nt_call: the transmitter class whose marker pair (ChAT+VAChT, Gad1+VGAT, VGlut, Hdc, ple+DAT, Tdc2+Tbh, Trh+SerT) has the largest pair-minimum TPM, if >= 10 TPM ('none' otherwise); davis_nt_secondary: further classes with pair-minimum >= 50 TPM; davis_nt_scores_top3 lists the values. This is a data summary, not a sign decision. Built by scripts/build_davis2020_tables.py.
source_name,qc,n_samples_pass,n_samples_suboptimal,ChAT_tpm,VAChT_tpm,Gad1_tpm,VGAT_tpm,VGlut_tpm,Hdc_tpm,ple_tpm,DAT_tpm,Tdc2_tpm,Tbh_tpm,Trh_tpm,SerT_tpm,nAChRalpha1_tpm,nAChRalpha2_tpm,nAChRalpha3_tpm,nAChRalpha4_tpm,nAChRalpha5_tpm,nAChRalpha6_tpm,nAChRalpha7_tpm,nAChRbeta1_tpm,nAChRbeta2_tpm,nAChRbeta3_tpm,Rdl_tpm,Lcch3_tpm,Grd_tpm,GluClalpha_tpm,KaiR1D_tpm,GluRIA_tpm,GluRIB_tpm,Nmdar1_tpm,Nmdar2_tpm,HisCl1_tpm,ort_tpm,mAChR-A_tpm,mAChR-B_tpm,mAChR-C_tpm,GABA-B-R1_tpm,GABA-B-R2_tpm,GABA-B-R3_tpm,mGluR_tpm,Dop1R1_tpm,Dop1R2_tpm,Dop2R_tpm,DopEcR_tpm,Oamb_tpm,Octbeta1R_tpm,Octbeta2R_tpm,Octbeta3R_tpm,Octalpha2R_tpm,5-HT1A_tpm,5-HT1B_tpm,5-HT2A_tpm,5-HT2B_tpm,5-HT7_tpm,ChAT_p_on,VAChT_p_on,Gad1_p_on,VGAT_p_on,VGlut_p_on,Hdc_p_on,ple_p_on,DAT_p_on,Tdc2_p_on,Tbh_p_on,Trh_p_on,SerT_p_on,nAChRalpha1_p_on,nAChRalpha2_p_on,nAChRalpha3_p_on,nAChRalpha4_p_on,nAChRalpha5_p_on,nAChRalpha6_p_on,nAChRalpha7_p_on,nAChRbeta1_p_on,nAChRbeta2_p_on,nAChRbeta3_p_on,Rdl_p_on,Lcch3_p_on,Grd_p_on,GluClalpha_p_on,KaiR1D_p_on,GluRIA_p_on,GluRIB_p_on,Nmdar1_p_on,Nmdar2_p_on,HisCl1_p_on,ort_p_on,mAChR-A_p_on,mAChR-B_p_on,mAChR-C_p_on,GABA-B-R1_p_on,GABA-B-R2_p_on,GABA-B-R3_p_on,mGluR_p_on,Dop1R1_p_on,Dop1R2_p_on,Dop2R_p_on,DopEcR_p_on,Oamb_p_on,Octbeta1R_p_on,Octbeta2R_p_on,Octbeta3R_p_on,Octalpha2R_p_on,5-HT1A_p_on,5-HT1B_p_on,5-HT2A_p_on,5-HT2B_p_on,5-HT7_p_on,davis_nt_call,davis_nt_secondary,davis_nt_scores_top3
Dm4,pass,4,0,5.32,25.87,10.45,242.3,4285.1,3.18,3.15,2.6,7.08,6.23,4.49,0.1,41.25,22.7,273.65,746.9,334.94,164.63,775.54,5142.36,166.83,0.24,1964.45,278.45,132.95,1241.32,36.1,0.86,4.56,6.23,402.71,14.27,0.13,187.26,3.37,3.09,38.95,65.96,13.04,33.85,9.62,2.05,11.94,4364.83,53.34,10.99,722.56,322.01,388.91,312.17,45.9,403.41,59.83,9.88,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,glutamate,,glutamate=4285;gaba=10;octopamine=6
Dm8,pass,2,0,1.98,16.48,6.83,178.25,2189.12,1.09,52.5,0.9,3.82,40.35,2.73,0.06,812.35,90.49,245.29,556.73,1942.44,2548.39,1228.48,2611.14,82.11,0.0,576.82,129.97,164.46,318.93,32.52,2.22,1.09,13.01,218.06,8.42,203.36,399.64,22.92,0.09,161.63,16.79,117.63,16.5,3.31,104.94,42.96,10007.21,16.39,188.65,419.69,41.28,306.1,0.86,2.79,72.41,0.5,95.76,0.0,0.0,0.0,1.0,1.0,0.0,0.57,0.0,0.67,0.86,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.91,1.0,0.0,0.0,0.29,1.0,0.0,1.0,1.0,0.29,0.0,1.0,0.98,0.98,0.0,1.0,1.0,0.12,1.0,0.14,1.0,1.0,1.0,1.0,0.0,0.01,1.0,0.0,1.0,glutamate,,glutamate=2189;gaba=7;octopamine=4
Dm9,pass,2,0,10.64,26.14,35.35,226.04,1059.5,3.07,9.02,0.55,8.24,5.14,3.34,0.96,47.08,45.33,23.43,738.2,357.06,382.27,1979.38,3117.98,126.41,0.0,1147.83,127.65,1.05,184.09,71.36,242.39,293.51,48.13,448.1,10.68,424.53,354.14,6.29,12.86,138.01,118.81,172.14,49.54,768.61,5.63,18.03,1726.99,854.61,798.06,30.13,8.67,21.27,13.09,9.94,65.91,3.37,49.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.09,1.0,0.0,1.0,1.0,0.93,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.01,0.58,1.0,0.0,0.99,glutamate,,glutamate=1060;gaba=35;acetylcholine=11
Gad1,pass,2,0,28.97,76.04,1287.85,412.6,15.77,0.77,5.11,2.73,13.23,90.62,4.27,0.58,250.17,65.31,216.15,497.74,1302.97,1230.18,2560.28,5349.27,187.69,1.62,3150.96,155.57,15.16,1800.25,77.17,59.14,105.85,78.66,431.84,27.99,13.81,355.12,39.97,9.59,239.32,113.83,186.11,548.78,91.31,24.03,115.19,5050.31,45.51,531.98,227.68,60.48,164.8,75.28,73.46,29.39,27.58,89.33,0.12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.98,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.79,1.0,gaba,,gaba=413;acetylcholine=29;glutamate=16
Glia_Eg,pass,6,0,8.82,32.72,16.71,15.04,34.34,22.54,174.73,5.11,7.74,4.32,18.22,20.27,11.69,1.13,8.12,18.87,30.27,43.21,32.8,90.35,3.79,4.81,98.76,10.93,12.02,11684.3,3.26,1.03,1.96,1.37,65.14,34.69,1.91,21.63,2.8,10.57,10.98,3.79,10.98,14.62,43.49,2.59,10.63,432.12,48.41,15.72,93.07,2.72,47.91,4.13,3.42,7.32,1.83,293.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,glutamate,,glutamate=34;histamine=23;serotonin=18
Glia_Mg,pass,2,0,4.21,29.07,13.71,13.06,28.83,5.45,23.88,1.53,3.88,1.5,0.61,33.76,10.6,1.12,10.0,10.42,22.8,26.63,17.83,57.84,7.09,2.0,43.43,6.41,3.68,5893.12,3.39,0.76,0.98,1.79,22.07,13.88,0.77,8.94,1.0,8.22,7.45,1.37,3.45,9.71,134.39,1.52,10.11,92.52,233.63,9.67,17.29,2.48,13.76,1.81,1.38,5.7,1.19,91.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,glutamate,,glutamate=29;gaba=13;histamine=5
Glia_Psg,pass,4,0,5.58,33.72,8.71,15.14,24.75,2.39,494.67,16.33,3.41,3.44,0.77,48.04,9.52,0.73,7.08,8.79,21.9,26.62,26.66,61.82,2.9,16.08,52.4,13.16,6.48,2669.25,1.06,0.28,1.62,0.63,37.51,17.82,1.14,9.19,1.52,6.41,8.28,0.73,8.51,13.03,141.72,4.33,7.55,186.06,17.79,7.89,275.95,1.9,148.22,3.54,0.7,7.76,1.0,253.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,glutamate,,glutamate=25;dopamine=16;gaba=9
KC_ab_c,pass,2,0,84.13,671.54,13.81,177.3,8.38,0.11,0.51,0.87,4.87,1.66,1.04,0.41,580.61,31.94,7.5,355.01,3256.65,3671.78,736.66,3378.96,89.99,0.0,8513.83,61.48,0.34,1573.94,38.89,53.31,131.77,8.14,247.12,10.3,0.0,739.41,199.66,1.43,339.09,11.85,2.75,24.89,311.41,197.48,391.96,6665.16,135.76,224.34,15.63,54.42,26.65,278.33,38.31,21.39,1.46,4.88,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,1.0,0.01,1.0,0.63,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.21,0.0,0.0,acetylcholine,,acetylcholine=84;gaba=14;glutamate=8
KC_ab_c.p.s,pass,2,0,90.82,730.65,2.69,164.18,5.62,0.45,1.0,1.06,5.04,1.92,0.32,0.41,531.09,23.93,4.97,313.81,2968.78,3975.23,1185.85,2650.22,77.22,0.0,7940.69,59.2,0.14,1016.75,33.17,46.33,119.99,7.78,171.9,7.92,0.05,1178.13,151.42,0.32,280.78,15.72,1.38,10.74,316.72,173.84,361.46,7265.79,122.64,206.86,8.95,67.09,40.07,302.29,49.33,17.3,1.81,1.67,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.96,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,0.06,0.0,0.0,acetylcholine,,acetylcholine=91;glutamate=6;gaba=3
KC_ab_p,pass,2,0,117.57,493.7,101.08,142.12,34.16,2.02,0.48,2.2,12.85,5.11,1.54,0.52,295.6,91.9,33.97,345.07,1422.03,1773.58,1017.9,3182.2,115.51,0.0,5703.29,111.52,0.25,569.12,84.78,51.16,109.0,32.73,173.3,26.48,0.0,738.84,237.22,2.74,296.53,63.37,33.28,73.98,1017.98,282.43,634.4,3460.01,213.73,369.48,33.75,121.9,127.19,785.43,253.29,14.55,17.68,12.95,1.0,1.0,0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.98,1.0,0.0,0.0,1.0,1.0,0.8,1.0,1.0,0.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.99,1.0,1.0,0.03,0.2,0.0,acetylcholine,gaba,acetylcholine=118;gaba=101;glutamate=34
