# Kurmangaliyev et al. 2020 Neuron 108:1045-1057 (doi:10.1016/j.neuron.2020.10.006); GEO GSE156455, main dataset
# (193,727 cells, 24-96 h APF in 12 h steps, w1118 + 40 DGRP lines multiplexed, 10x v3, FlyBase r6.29; sex not annotated --
# see docs/audits/receptor_sources_profiles.md for the roX1 / roX2 check). PUPAL atlas: the '96h' rows are pharate adults
# (the GEO sample titles call them 'Adult'); there is no post-eclosion timepoint. Built by scripts/build_kurmangaliyev2020_tables.py
# from the raw count matrix (one streaming pass; no author-provided per-cluster table exists).
# One row per (cluster, time, metric): time = 24h..96h, 'late' = 72h+84h+96h pooled, 'all' = every timepoint; n_cells = cells averaged.
# metric mean_log1p_cp10k = per-cluster arithmetic mean of ln(1 + UMI / total_UMI x 1e4) per cell (Seurat LogNormalize, as in
# expression_ozel2021.csv); metric frac_expr = fraction of the cluster's cells with >= 1 UMI of the gene (as in expression_central.csv).
# Gene symbols are the plan's names; all 54 are present in the r6.29 feature list under these symbols (no translation needed).
source_name,source_cluster,map_tier,time,n_cells,metric,ChAT,VAChT,Gad1,VGAT,VGlut,Hdc,ple,DAT,Tdc2,Tbh,Trh,SerT,nAChRalpha1,nAChRalpha2,nAChRalpha3,nAChRalpha4,nAChRalpha5,nAChRalpha6,nAChRalpha7,nAChRbeta1,nAChRbeta2,nAChRbeta3,Rdl,Lcch3,Grd,GluClalpha,KaiR1D,GluRIA,GluRIB,Nmdar1,Nmdar2,HisCl1,ort,mAChR-A,mAChR-B,mAChR-C,GABA-B-R1,GABA-B-R2,GABA-B-R3,mGluR,Dop1R1,Dop1R2,Dop2R,DopEcR,Oamb,Octbeta1R,Octbeta2R,Octbeta3R,Octalpha2R,5-HT1A,5-HT1B,5-HT2A,5-HT2B,5-HT7
C2,C2,exact,24h,164,mean_log1p_cp10k,0.03881930187344551,0.11799018085002899,0.5651992559432983,0.31703484058380127,0.09774105995893478,0.0,0.032544683665037155,0.10120809078216553,0.0,0.007954533211886883,0.0,0.010108926333487034,0.35231202840805054,0.27064794301986694,0.18856899440288544,1.004395604133606,0.6382067799568176,0.9041491150856018,2.36844539642334,0.14449211955070496,0.5029112696647644,0.0,0.6481684446334839,0.4004201292991638,0.005790504161268473,2.1249287128448486,0.37383222579956055,1.771445631980896,2.1321051120758057,0.05193973705172539,0.17534436285495758,0.005855868104845285,0.01023667212575674,0.1297641098499298,0.0,0.0,0.8941925764083862,0.20025970041751862,0.14733633399009705,0.007399285212159157,0.024844111874699593,0.0,0.04048287495970726,0.6909583210945129,0.014285479672253132,1.0174012184143066,0.02818354219198227,0.07667724043130875,0.04597155749797821,0.37956324219703674,0.057003382593393326,0.00951293483376503,0.0,0.0
C2,C2,exact,24h,164,frac_expr,0.024390243902439025,0.08536585365853659,0.3902439024390244,0.21951219512195122,0.06707317073170732,0.0,0.024390243902439025,0.06707317073170732,0.0,0.006097560975609756,0.0,0.006097560975609756,0.22560975609756098,0.1951219512195122,0.12195121951219512,0.5975609756097561,0.3902439024390244,0.4451219512195122,0.9329268292682927,0.10365853658536585,0.3231707317073171,0.0,0.38414634146341464,0.2926829268292683,0.006097560975609756,0.8963414634146342,0.24390243902439024,0.8048780487804879,0.8780487804878049,0.036585365853658534,0.11585365853658537,0.006097560975609756,0.006097560975609756,0.08536585365853659,0.0,0.0,0.5548780487804879,0.1524390243902439,0.10365853658536585,0.006097560975609756,0.018292682926829267,0.0,0.03048780487804878,0.4573170731707317,0.012195121951219513,0.5853658536585366,0.024390243902439025,0.04878048780487805,0.03048780487804878,0.23780487804878048,0.042682926829268296,0.006097560975609756,0.0,0.0
C2,C2,exact,36h,82,mean_log1p_cp10k,0.04034804925322533,0.1335015594959259,0.38796892762184143,0.44261616468429565,0.17119380831718445,0.0,0.0239453986287117,0.026180382817983627,0.0,0.011531469412147999,0.0,0.0,1.1736189126968384,0.2992788553237915,0.036742813885211945,0.9534343481063843,0.4745146632194519,0.18796974420547485,3.112283945083618,1.683241367340088,0.6580624580383301,0.0,3.1225693225860596,0.7861033082008362,0.011491697281599045,2.513232707977295,0.4041125178337097,2.227854013442993,2.9243078231811523,0.08492465317249298,0.030170701444149017,0.0,0.019305946305394173,0.09097839891910553,0.0,0.0,1.3598583936691284,0.3031809329986572,0.5535008311271667,0.021620072424411774,0.0,0.0,0.03184607997536659,0.8553721904754639,0.021840568631887436,0.1354273408651352,0.0927533432841301,0.053961798548698425,0.0960068330168724,0.7717194557189941,0.011491697281599045,0.02155107632279396,0.0,0.015347643755376339
C2,C2,exact,36h,82,frac_expr,0.024390243902439025,0.10975609756097561,0.3170731707317073,0.35365853658536583,0.12195121951219512,0.0,0.024390243902439025,0.024390243902439025,0.0,0.012195121951219513,0.0,0.0,0.6585365853658537,0.23170731707317074,0.036585365853658534,0.6463414634146342,0.3170731707317073,0.12195121951219512,0.9878048780487805,0.8658536585365854,0.47560975609756095,0.0,1.0,0.5609756097560976,0.012195121951219513,0.9878048780487805,0.3170731707317073,0.975609756097561,1.0,0.07317073170731707,0.024390243902439025,0.0,0.012195121951219513,0.07317073170731707,0.0,0.0,0.7682926829268293,0.25609756097560976,0.4024390243902439,0.012195121951219513,0.0,0.0,0.024390243902439025,0.5975609756097561,0.012195121951219513,0.0975609756097561,0.07317073170731707,0.06097560975609756,0.07317073170731707,0.5121951219512195,0.012195121951219513,0.012195121951219513,0.0,0.012195121951219513
C2,C2,exact,48h,1005,mean_log1p_cp10k,0.014024651609361172,0.06396230310201645,0.5237869620323181,0.25977641344070435,0.06804811954498291,0.0,0.02252698689699173,0.0534091554582119,0.0,0.009733854793012142,0.00097285071387887,0.0,2.7427029609680176,0.9270696043968201,0.05708254501223564,1.0255919694900513,1.3275851011276245,0.1698913425207138,3.8663389682769775,2.9074437618255615,0.9513401985168457,0.0,3.7128350734710693,0.7385737299919128,0.007643405348062515,2.0392353534698486,0.49569347500801086,2.3272252082824707,3.219419240951538,0.1390160620212555,0.03489154577255249,0.0034330319613218307,0.4218769073486328,0.404807448387146,0.1161453053355217,0.0,0.9037370085716248,0.4186440110206604,0.2117733210325241,0.035226136445999146,0.02918391115963459,0.01416831649839878,0.10478067398071289,0.9332354664802551,0.01833879016339779,0.018732594326138496,0.039084289222955704,0.013078322634100914,1.6123665571212769,1.588473916053772,0.08028046786785126,0.02497507818043232,0.0030759607907384634,0.022230369970202446
C2,C2,exact,48h,1005,frac_expr,0.013930348258706468,0.05870646766169154,0.4199004975124378,0.2308457711442786,0.056716417910447764,0.0,0.021890547263681594,0.04975124378109453,0.0,0.010945273631840797,0.0009950248756218905,0.0,0.9870646766169154,0.6736318407960199,0.04776119402985075,0.6935323383084577,0.7651741293532338,0.136318407960199,1.0,1.0,0.6835820895522388,0.0,1.0,0.572139303482587,0.006965174129353234,0.9582089552238806,0.4129353233830846,0.972139303482587,0.9990049751243781,0.12736318407960198,0.03283582089552239,0.0029850746268656717,0.32238805970149254,0.33134328358208953,0.10049751243781095,0.0,0.6348258706467662,0.36019900497512436,0.18208955223880596,0.031840796019900496,0.026865671641791045,0.012935323383084577,0.08756218905472637,0.6646766169154229,0.015920398009950248,0.01691542288557214,0.03681592039800995,0.012935323383084577,0.8666666666666667,0.8248756218905473,0.0736318407960199,0.023880597014925373,0.0029850746268656717,0.021890547263681594
C2,C2,exact,60h,277,mean_log1p_cp10k,0.04539211094379425,0.11892256885766983,0.8805093765258789,0.48364752531051636,0.07190664112567902,0.0,0.013460398651659489,0.02312030829489231,0.0029237905982881784,0.0,0.0,0.00395315932109952,2.0728671550750732,0.8007684350013733,0.19504092633724213,1.1459449529647827,0.6864656805992126,0.11717365682125092,3.1655185222625732,2.4848859310150146,0.9625651836395264,0.0,3.0012054443359375,1.3755254745483398,0.02710360661149025,1.51190984249115,0.18237924575805664,1.1971036195755005,2.131617307662964,0.03344997018575668,0.06069815531373024,0.006678612902760506,0.007291496731340885,0.1169043704867363,0.04581062123179436,0.0,0.6667464971542358,0.23476630449295044,0.07879638671875,0.025556815788149834,0.04907282441854477,0.013270510360598564,0.16054613888263702,0.9591308832168579,0.024823537096381187,0.05085466802120209,0.09153885394334793,0.043032076209783554,1.586300253868103,0.7677974700927734,0.10071609914302826,0.00995136983692646,0.0029848632402718067,0.04147663339972496
C2,C2,exact,60h,277,frac_expr,0.04693140794223827,0.12274368231046931,0.6750902527075813,0.4332129963898917,0.07220216606498195,0.0,0.010830324909747292,0.02527075812274368,0.0036101083032490976,0.0,0.0,0.0036101083032490976,0.9386281588447654,0.6245487364620939,0.17689530685920576,0.7653429602888087,0.49458483754512633,0.10830324909747292,1.0,0.9963898916967509,0.7256317689530686,0.0,1.0,0.8772563176895307,0.02527075812274368,0.8880866425992779,0.18411552346570398,0.779783393501805,0.9638989169675091,0.036101083032490974,0.06498194945848375,0.007220216606498195,0.007220216606498195,0.11191335740072202,0.04693140794223827,0.0,0.5270758122743683,0.22743682310469315,0.08303249097472924,0.02888086642599278,0.04693140794223827,0.01444043321299639,0.1299638989169675,0.703971119133574,0.02527075812274368,0.05415162454873646,0.09025270758122744,0.04332129963898917,0.9133574007220217,0.5270758122743683,0.10469314079422383,0.007220216606498195,0.0036101083032490976,0.04332129963898917
C2,C2,exact,72h,485,mean_log1p_cp10k,0.10014351457357407,0.16605974733829498,1.26798415184021,1.1125465631484985,0.13724687695503235,0.0,0.03798705339431763,0.009380645118653774,0.0,0.010930501855909824,0.0,0.0,0.3634454011917114,0.0700661912560463,0.6902206540107727,1.4563658237457275,2.636711597442627,0.1868370920419693,3.7350869178771973,2.1159579753875732,0.6368740200996399,0.0,2.8140780925750732,1.2595694065093994,0.11168016493320465,1.7866572141647339,0.18357327580451965,1.957685947418213,2.5687777996063232,0.0437442809343338,0.3153996169567108,0.005781024694442749,0.02056058868765831,0.09914817661046982,0.021248454228043556,0.0,0.9877926707267761,0.5299087166786194,0.19233113527297974,0.032844338566064835,0.04546032473444939,0.013076890259981155,0.299884170293808,1.2641520500183105,0.031022490933537483,1.5562676191329956,0.08280180394649506,0.03873172402381897,1.6978100538253784,0.8316748738288879,0.5852310061454773,0.028874654322862625,0.004336222540587187,0.14078578352928162
C2,C2,exact,72h,485,frac_expr,0.0865979381443299,0.1360824742268041,0.7958762886597938,0.7793814432989691,0.1134020618556701,0.0,0.03917525773195876,0.008247422680412371,0.0,0.010309278350515464,0.0,0.0,0.2948453608247423,0.07010309278350516,0.4865979381443299,0.8618556701030928,0.9979381443298969,0.15051546391752577,1.0,0.9814432989690721,0.5319587628865979,0.0,0.9979381443298969,0.8185567010309278,0.10309278350515463,0.9278350515463918,0.18144329896907216,0.954639175257732,0.9917525773195877,0.04329896907216495,0.2907216494845361,0.006185567010309278,0.018556701030927835,0.09072164948453608,0.024742268041237112,0.0,0.6989690721649484,0.4536082474226804,0.1731958762886598,0.030927835051546393,0.03917525773195876,0.01443298969072165,0.24536082474226803,0.797938144329897,0.026804123711340205,0.843298969072165,0.07835051546391752,0.03711340206185567,0.9134020618556701,0.5917525773195876,0.44123711340206184,0.0288659793814433,0.006185567010309278,0.13195876288659794
