arm,metric,n,mean,across_run_sd,conditioning
full,feeding_s,6,14.808333333333062,0.3089606231652548,all six runs
full,first_feed_s,6,21.486666666666668,8.202596336933,uncensored contacts only
full,final_energy,6,0.8405761273560657,0.0395788392082555,all six runs
full,airborne_s,6,0.44166666666666693,0.456044588463307,all six runs
full,min_fruit_distance_m,6,-0.016462189679055664,0.028335132660983038,all six runs
full,mean_abs_goal_offset_deg,6,24.50736624060448,6.641013864186013,all six runs
full,mean_orn_rate_L,6,5.813111656357845,0.9277320666123318,all six runs
full,mean_orn_rate_R,6,5.790391450822352,0.9234653978900577,all six runs
full,mean_DNa02_L,6,0.24820573409567412,0.2843128797268128,all six runs
full,mean_DNa02_R,6,0.604002265022722,0.4215319610210154,all six runs
full,mean_target_DNa02_difference,6,-0.33886317111086095,0.554432545119367,all six runs
full,mean_PFL3_input_difference,6,-1.9495843999030893,3.1073960494334436,all six runs
full,mean_bilateral,6,0.0014116460736880202,0.0026295899700893226,all six runs
full,mean_orn_difference_hz,6,0.02272020553549131,0.015924242558066057,all six runs
full,temporal_sd_orn_difference_hz,6,0.2747125632742672,0.024471755655219293,all six runs
full,mean_DNa02_difference_hz,6,-0.35579653092704805,0.5491272446385851,all six runs
full,mean_abs_tracking_error_hz,6,0.8044172788235239,0.3562808691048737,all six runs
full,mean_physical_contrast,6,0.001332036416232434,0.0025460300868629542,all six runs
full,temporal_sd_filtered_contrast,6,0.009635137182521942,0.006415363375755855,all six runs
transduced,feeding_s,6,2.4416666666666225,5.917379205920928,all six runs
transduced,first_feed_s,2,22.020000000000003,13.392602435673211,uncensored contacts only
transduced,final_energy,6,0.13265990840872421,0.32494908492572583,all six runs
transduced,airborne_s,6,0.7750000000000005,0.5107935003501908,all six runs
transduced,min_fruit_distance_m,6,0.09620354572471064,0.12104664499138816,all six runs
transduced,mean_abs_goal_offset_deg,6,61.265261298303756,6.3154050811556885,all six runs
transduced,mean_orn_rate_L,6,3.0181151513093045,2.333029026132359,all six runs
transduced,mean_orn_rate_R,6,3.0014422907763056,2.3114715319307697,all six runs
transduced,mean_DNa02_L,6,1.4244116747585094,0.9653377231355221,all six runs
transduced,mean_DNa02_R,6,1.0279562047648325,0.7278088072838602,all six runs
transduced,mean_target_DNa02_difference,6,0.3366620961405149,0.34795044046126533,all six runs
transduced,mean_PFL3_input_difference,6,0.8833597530507379,1.342959319286941,all six runs
transduced,mean_bilateral,6,0.0019674143205134307,0.003081888021023328,all six runs
transduced,mean_orn_difference_hz,6,0.01667286053299904,0.027362802231474127,all six runs
transduced,temporal_sd_orn_difference_hz,6,0.18385750664949038,0.07003689308692468,all six runs
transduced,mean_DNa02_difference_hz,6,0.3964554699936768,0.3854149091073998,all six runs
transduced,mean_abs_tracking_error_hz,6,3.426449521971731,1.5217061943713412,all six runs
transduced,mean_physical_contrast,6,0.0013279594945414044,0.0033479736276965264,all six runs
transduced,temporal_sd_filtered_contrast,6,0.021191752367982205,0.006283730255596059,all six runs
goal_only,feeding_s,6,7.449999999999863,8.161801271778035,all six runs
goal_only,first_feed_s,3,24.78,9.756782256461399,uncensored contacts only
goal_only,final_energy,6,0.42788079949152924,0.46962792263550085,all six runs
goal_only,airborne_s,6,0.6000000000000004,0.4637671829700764,all six runs
goal_only,min_fruit_distance_m,6,0.06504594833127204,0.1162707669877174,all six runs
goal_only,mean_abs_goal_offset_deg,6,20.579797597173396,18.64821844379529,all six runs
goal_only,mean_orn_rate_L,6,3.8917631894846756,2.654381491655278,all six runs
goal_only,mean_orn_rate_R,6,3.885799614936113,2.6508301644170276,all six runs
goal_only,mean_DNa02_L,6,0.15157521471541438,0.17028801364583554,all six runs
goal_only,mean_DNa02_R,6,0.17749708088899138,0.25246220474582165,all six runs
goal_only,mean_target_DNa02_difference,6,-0.041766985632582604,1.5820842125429235,all six runs
goal_only,mean_PFL3_input_difference,6,-0.08353397126516521,3.164168425085847,all six runs
goal_only,mean_bilateral,6,-0.0006051896979506134,0.005827308270923514,all six runs
goal_only,mean_orn_difference_hz,6,0.005963574548562366,0.035020045322608724,all six runs
goal_only,temporal_sd_orn_difference_hz,6,0.21631619005564354,0.08650674981028794,all six runs
goal_only,mean_DNa02_difference_hz,6,-0.025921866173576984,0.36273387772139587,all six runs
goal_only,mean_abs_tracking_error_hz,6,1.1098179876279994,0.7078869519328438,all six runs
goal_only,mean_physical_contrast,6,-0.0004524026629315416,0.006132197997607762,all six runs
goal_only,temporal_sd_filtered_contrast,6,0.007072647724608007,0.010173678796337553,all six runs
