arm,starts,run,brain_seed,file,device_name,gpu,wall_s,variant,integral_gain,walking_goal,fed_rows,fed_fraction,mean_first_contact_s,mean_abs_dna_lr_hz,mean_path_m,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,checks
feedback-only,drawn,2,33,feedback-only_drawn_r2.json,NVIDIA B200,4,313.6,feedback-only,5.0,False,4.0,0.6666666666666666,5.61,0.5924788067633552,0.969726745681851,0.01731159834823403,3.8456478825646148,2.6483851511845002,0.06429796578667187,
full,drawn,3,34,full_drawn_r3.json,NVIDIA B200,5,346.2,full,5.0,True,6.0,1.0,9.046666666666667,0.49973357951590364,0.712769175275687,0.01342432279398862,2.864327477984544,1.888623907431805,0.05724341902941399,
goal-only,drawn,3,34,goal-only_drawn_r3.json,NVIDIA B200,6,476.9,goal-only,0.0,True,4.0,0.6666666666666666,15.002500000000001,0.6007294056957112,1.0892803046266513,0.053642354582649814,4.291388348895642,0.0,0.06384848361466261,
feedback-only,drawn,3,34,feedback-only_drawn_r3.json,NVIDIA B200,7,520.9,feedback-only,5.0,False,4.0,0.6666666666666666,5.73,0.6068428700704619,0.988963476317477,0.018040403890491285,4.533356881075435,3.331730819168087,0.06627014648478033,
full,drawn,4,35,full_drawn_r4.json,NVIDIA B200,4,286.0,full,5.0,True,6.0,1.0,9.166666666666666,0.3945309851403936,0.8076230839438646,0.009950977952741798,2.1810683937453565,1.4317377424868756,0.046067799939749306,
goal-only,drawn,4,35,goal-only_drawn_r4.json,NVIDIA B200,5,325.6,goal-only,0.0,True,5.0,0.8333333333333334,13.440000000000001,0.3199878212128671,0.9958310079862226,0.030654382411141545,2.452350586138459,0.0,0.04074428891576217,
feedback-only,drawn,4,35,feedback-only_drawn_r4.json,NVIDIA B200,6,135.1,feedback-only,5.0,False,4.0,0.6666666666666666,5.685,0.5602576829831256,1.0108389601779781,0.016303921658274535,3.73877845649711,2.6398957045805744,0.06454342965728489,
full,drawn,5,36,full_drawn_r5.json,NVIDIA B200,7,110.7,full,5.0,True,6.0,1.0,8.935,0.4082290162847488,0.8255498369821871,0.010441049340257046,2.139707071673539,1.373345338607776,0.04894636995214368,
goal-only,drawn,5,36,goal-only_drawn_r5.json,NVIDIA B200,4,269.4,goal-only,0.0,True,3.0,0.5,12.853333333333333,0.8806203877518102,1.0976520546766089,0.07665212721353681,6.132170172363467,0.0,0.08523633075837093,
feedback-only,drawn,5,36,feedback-only_drawn_r5.json,NVIDIA B200,5,319.6,feedback-only,5.0,False,4.0,0.6666666666666666,5.7524999999999995,0.6089006168665947,1.1004349044630095,0.01623450023412166,4.074010446477268,2.9615508616218964,0.06494614074209035,
