arm,starts,run,brain_seed,row,env_seed,start_x,start_y,heading_deg,feeding_s,first_contact_s,path_m,mean_abs_dna_lr_hz,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,min_fruit_distance_m,end_energy,zero_energy_s
full,drawn,0,31,5,5,-0.11980671280688665,-0.16999832601420917,32.725026635548176,14.019999999999746,7.04,0.4530385443831602,0.3285746301826312,0.007877802530031962,1.7742986036340396,1.1752529321517795,0.038871124102931934,-0.05618941393536016,0.767389863388168,
goal-only,drawn,0,31,0,0,-0.19033049573388322,-0.043482688814040826,-113.49663953961064,13.579999999999755,1.99,1.3432460869134715,0.08906419771507336,0.002463222707544143,0.19705781675875186,0.0,0.03021108862848614,-0.011351343938736162,0.7438647396398748,
goal-only,drawn,0,31,1,1,0.536004527671718,-0.08907576783745286,-110.20876239444814,14.999999999999725,31.97,0.5861183150705502,0.4361348275946987,0.057572226501555024,4.605778095902254,0.0,0.04686614484950247,-0.060447468929220115,0.8896527617185357,18.18
goal-only,drawn,0,31,2,2,-0.19941807766593161,-0.2751324824690579,112.97796125580754,7.209999999999891,52.8,0.8316042073956899,1.220649197630912,0.12142665942248035,9.714132701481383,0.0,0.10388011822613662,0.01455499486439344,0.45643855384786763,18.1
goal-only,drawn,0,31,3,3,0.3174038294020318,-0.014724182086098103,-27.725692268078518,13.449999999999758,0.42,1.2415337394492618,0.03956999408377503,0.0001743581572857996,0.013948652148246764,0.0,0.019873200067736553,0.004496241586059359,0.7360444468327907,
goal-only,drawn,0,31,4,4,0.4068861628658377,-0.18105349844072238,-87.86861814303862,0.0,,1.436267268545372,0.24860473833032662,0.028461058667241256,2.276884692172753,0.0,0.037498469504554766,0.13898346583157337,0.0,18.69
goal-only,drawn,0,31,5,5,-0.11980671280688665,-0.16999832601420917,32.725026635548176,14.999999999999725,34.09,0.6934840171171865,1.0446871967367515,0.0875459167372901,7.003673287344475,0.0,0.09833818695325393,0.004784820563725348,0.8998740604576366,18.24
feedback-only,drawn,0,31,0,0,-0.19033049573388322,-0.043482688814040826,-113.49663953961064,13.569999999999755,1.82,1.4742326471996634,0.1659785868281013,0.0036886856763157995,0.4813135361671448,0.18836671645442646,0.0395554657039759,-0.015147557757957324,0.743687490844657,
feedback-only,drawn,0,31,1,1,0.536004527671718,-0.08907576783745286,-110.20876239444814,0.0,,1.4735436880774166,0.9236887843645593,0.027373856989859936,8.059537806672354,6.19027955615893,0.0981695421541817,0.17498388075073076,0.0,19.19
feedback-only,drawn,0,31,2,2,-0.19941807766593161,-0.2751324824690579,112.97796125580754,14.559999999999734,13.02,0.663811566724195,0.753712138658364,0.01891841831927498,3.9778436283270517,2.4704334606975316,0.07631495772366738,-0.06412894113172465,0.7996563434702958,
feedback-only,drawn,0,31,3,3,0.3174038294020318,-0.014724182086098103,-27.725692268078518,13.449999999999758,0.42,1.2877178071553452,0.04252697091911982,0.00017838157247751952,0.019546380241711934,0.005275854058563709,0.02179882585328658,0.0018875981947774345,0.736710331789944,
feedback-only,drawn,0,31,4,4,0.4068861628658377,-0.18105349844072238,-87.86861814303862,0.0,,1.5130493420625464,1.2772018421821436,0.03949950219839707,8.850108094463746,6.28594112044666,0.12532553135182806,0.13898346583157337,0.0,18.86
feedback-only,drawn,0,31,5,5,-0.11980671280688665,-0.16999832601420917,32.725026635548176,14.039999999999745,7.34,0.44930890386186706,0.22602663899127137,0.005193095920355215,1.6682032187779745,1.278484677945574,0.029967584557275825,-0.0406810053902597,0.7692840202897977,
full,drawn,1,32,0,0,-0.19033049573388322,-0.043482688814040826,-113.49663953961064,15.059999999999723,1.88,0.6010768377804819,0.67285510145759,0.02161510198415878,4.515158621792992,3.0530875224340708,0.07450744863221978,-0.03033537430269894,0.8290031510298573,
