mode,seed,row,speed_deg_s,mean_strength,weak_fraction,stationary_error_p95_deg,moving_error_p95_deg,first_slope_deg_s,reverse_slope_deg_s,mean_width_wedges,mean_peak_hz,mean_epg_hz,failed_gates
instrumented,10,2,-45.0,0.8320318404832509,0.0,6.339597214378773,9.027592631775343,-45.07152444866204,43.794265224262794,3.481320590790617,51.6662483215332,11.915045738220215,
instrumented,10,3,0.0,0.8312532413847528,0.0,6.192056133641022,,-0.5536738068040893,-0.18778367898135206,3.364900086880973,53.659950256347656,11.483369827270508,
instrumented,10,4,45.0,0.8303217807156213,0.0,6.786095834025559,12.439621199030846,43.95488812577263,-46.81340196967336,3.5456125108601215,53.068519592285156,12.119101524353027,
instrumented,10,5,90.0,0.8298126735723244,0.0,6.008137225622398,16.553324112514208,90.35444450895173,-89.11754958224567,3.417028670721112,53.2355842590332,12.151559829711914,
instrumented,10,6,180.0,0.8132134457042035,0.0,6.426663771948687,23.509315399572223,179.76740742046076,-180.22086257202272,3.535186794092094,51.536441802978516,12.133126258850098,
instrumented,10,7,90.0,0.8254069740882131,0.0,6.690567497429363,15.01983500137498,90.01328984008663,-92.42440302128762,3.4578627280625542,53.612632751464844,12.5095853805542,
instrumented,11,0,-180.0,0.8101638512525502,0.0,5.522932205322416,22.810438130882073,-179.33531841208875,178.8309489608368,3.6620330147697655,49.09968566894531,11.948734283447266,
instrumented,11,1,-90.0,0.833314159329161,0.0,7.173729440760972,14.077389208712974,-90.3218096534555,88.62943698929729,3.437011294526499,52.869686126708984,12.015657424926758,
instrumented,11,2,-45.0,0.82533953749076,0.0,6.330358387847317,10.677091999868365,-45.060317088330855,45.99145025377168,3.3987836663770636,52.197296142578125,11.817670822143555,
instrumented,11,3,0.0,0.830749335205565,0.0,7.149804509201962,,-1.1723679922838983,1.4793995277268084,3.4474370112945265,52.77323913574219,11.612218856811523,
instrumented,11,4,45.0,0.8294345012316671,0.0,6.838739294425649,8.410630993625224,42.95915155596176,-46.33245532216955,3.4378801042571676,52.746986389160156,12.021729469299316,
instrumented,11,5,90.0,0.8264159133086119,0.0,6.9965317150469994,13.481862504666902,90.63582169690166,-90.53786978036737,3.5430060816681146,52.49980163574219,12.122660636901855,
instrumented,11,6,180.0,0.8101559092381609,0.0,6.421651249611333,22.742855651605748,181.01531048494297,-180.9214157379081,3.569939183318853,51.667396545410156,12.164813041687012,
instrumented,11,7,90.0,0.8256233576069791,0.0,5.699781283907435,12.959910163278234,89.97399273439494,-88.96930317467069,3.4465682015638577,52.939422607421875,12.229846954345703,
instrumented,12,0,-180.0,0.8128189722924629,0.0,7.665982869713001,22.17422481139839,-180.6931230367303,178.72408872887675,3.5647263249348393,51.52952575683594,12.23220157623291,
instrumented,12,1,-90.0,0.8264992661693885,0.0,6.473891605329152,13.436146086493471,-91.21064600848321,91.48558171443405,3.582102519548219,50.744693756103516,11.860370635986328,
instrumented,12,2,-45.0,0.8312007655567485,0.0,7.900703942331284,8.68382610655199,-45.26088269035005,44.69747011078432,3.2806255430060816,55.2587890625,11.947807312011719,
instrumented,12,3,0.0,0.8321209984716618,0.0,6.7087808958786646,,2.6739882614771546,-2.4992398552696717,3.516072980017376,53.129940032958984,11.619216918945312,
instrumented,12,4,45.0,0.8332196148568735,0.0,8.504278939297002,9.73960583786764,47.33765536919771,-46.991322433498375,3.3423110338835795,52.81145477294922,11.956941604614258,
instrumented,12,5,90.0,0.8224601314637622,0.0,6.589457883407364,12.669627239214439,90.57755451863777,-90.57634033795578,3.527367506516073,52.5727424621582,12.256360054016113,
instrumented,12,6,180.0,0.8150693257034014,0.0,5.897778435547236,22.91816258550306,179.1531721179888,-178.11811905503876,3.508253692441355,50.74935531616211,12.033448219299316,
instrumented,12,7,90.0,0.8222652647995778,0.0,6.9910791104548045,14.442558215929573,89.96447902472427,-90.74648865957616,3.4856646394439617,51.913421630859375,12.152815818786621,
instrumented,13,0,-180.0,0.8150437382147654,0.0,7.591521725780948,22.722878302416213,-178.67908271721626,178.71885248510176,3.5403996524761077,50.39503860473633,11.913676261901855,
instrumented,13,1,-90.0,0.8249711639000284,0.0,6.711538995213763,13.008241486289023,-88.97445674265795,88.97415253136299,3.36750651607298,54.002864837646484,12.135098457336426,
instrumented,13,2,-45.0,0.8311936561381112,0.0,6.366564542190175,11.080659921557489,-43.63825130994359,47.54693639016054,3.408340573414422,54.08494567871094,12.048988342285156,
instrumented,13,3,0.0,0.8317088866146679,0.0,6.781516125905799,,0.012627036337470539,-0.4003648664175829,3.5021720243266725,52.34074401855469,11.516636848449707,
instrumented,13,4,45.0,0.8312614103297659,0.0,6.476338433048131,9.24883415600894,45.22212067909075,-45.173937031300945,3.4483058210251953,52.957557678222656,12.04139518737793,
instrumented,13,5,90.0,0.828640131374622,0.0,6.48623483260716,15.347292054780878,90.74709136095579,-88.6679218884925,3.4187662901824503,52.4702033996582,12.088424682617188,
