mode,row,env_seed,hops,distance_m,mean_abs_yaw_deg_s,mean_epg_hz
raw,0,10,1,0.6799180162153089,1.7727912441800653,0.022489352151751518
raw,1,11,0,0.5210483262186685,1.7584734589708182,0.007039886899292469
raw,2,12,0,0.5350110294371648,1.4250539449565613,0.017470473423600197
raw,3,13,0,0.5305063523723108,1.1419117803138237,0.017546653747558594
raw,4,14,0,0.5223284996369514,1.343599426973258,0.041936684399843216
raw,5,15,0,0.5271582162186066,1.3172998906759872,0.02719488926231861
instrumented,0,10,0,0.5306751001652088,1.0914023359477742,11.467387199401855
instrumented,1,11,0,0.5343813864246696,1.0751698952497373,11.606274604797363
instrumented,2,12,0,0.522808111136702,1.5192327143273074,11.511205673217773
instrumented,3,13,0,0.5368888739777726,1.1150475897032102,11.510005950927734
instrumented,4,14,0,0.5320327727458196,1.435042494996586,11.426010131835938
instrumented,5,15,0,0.5329819931376317,1.2524016625902001,11.664589881896973
