test,key,stim,null,predicted_sign,n_stim,n_null,stim_values,null_values,verdict,diff,z,U,p,p_floor,null_sd_zero,n_min,welch_t,all_separated,p_holm,m,verdict_holm
1_GLNO_LR_V-_vs_S,GLNO_LR_hz,V-,S,negative,6,6,"[-1.4627, -1.7747, -2.3811, -2.1203, -3.1658, -1.4946]","[-0.0018, -0.0014, 0.0015, 0.0003, 0.0002, 0.001]",result,-2.066508258700196,-1557.3926771801978,0.0,0.0021645021645021645,0.0021645021645021645,False,6,-7.834521772701751,True,0.006493506493506494,3,result
2_GLNO_LR_V_vs_V-,GLNO_LR_hz,V,V-,positive,6,6,"[2.0053, 2.6428, 2.2497, 0.8462, 2.617, 2.9488]","[-1.4627, -1.7747, -2.3811, -2.1203, -3.1658, -1.4946]",result,4.284835706154505,6.631851785204511,36.0,0.0021645021645021645,0.0021645021645021645,False,6,10.614009391818183,True,0.006493506493506494,3,result
3_PS196b_LR_V_vs_V-,PS196b_LR_hz,V,V-,negative,6,6,"[-18.6666, -18.0815, -18.3178, -14.8798, -19.9797, -19.0456]","[18.1393, 16.9619, 17.8107, 18.3575, 18.9468, 17.8204]",result,-36.16794808705647,-54.661048432865044,0.0,0.0021645021645021645,0.0021645021645021645,False,6,-47.58395033112233,True,0.006493506493506494,3,result
