arm,seed,file,run_id,device,device_name,cuda_visible,preset,instruments,md5,wall_s,survival_s,bump_hz_post,width_half_post,frac_confined_post,bump_follow_wedges_per_s,bump_follow_confined_frac,bump_follow_ideal_wedges_per_s,GLNO_LR_hz,PEN_LR_hz,DNa02_LR_hz,PS196b_LR_hz,AFF_LR_hz,GLNO_LR_hz_rest,PEN_LR_hz_rest,PEN_mean_post,GLNO_mean_post,PS196b_L_hz_turn,PS196b_R_hz_turn,epg_in_mean_post,epg_out_mean_post,vs_post_all,GLNO_L_hz_turn,GLNO_R_hz_turn,PEN_L_hz_turn,PEN_R_hz_turn,DNa02_L_hz_turn,DNa02_R_hz_turn,AFF_L_hz_turn,AFF_R_hz_turn,ExR6_mean_pre,ExR6_mean_during,ExR6_mean_post,ER6_mean_pre,ER6_mean_during,ER6_mean_post,ER4m_mean_pre,ER4m_mean_during,ER4m_mean_post,checks
S,0,S_s0.json,S_s0.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,45.6,0.0,,,0.0,6.964486266304056,0.0,4.0,-0.0018265284597873688,0.03219839930534363,0.0,0.0,,-3.4180349637310343e-16,-0.0002873176708817482,0.03622664511203766,0.0814034715294838,0.0,0.0,10.150867462158203,9.612883567810059,0.10372947088180101,8.744770525481727e-07,0.0018274030881002545,0.03232498839497566,0.00012658776540774852,0.0,0.0,,,43.737911224365234,85.47807312011719,41.32012939453125,23.774778366088867,52.332515716552734,23.08740234375,2.510136365890503,11.856860160827637,2.445664644241333,
S,1,S_s1.json,S_s1.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,59.7,0.0,,,0.0,2.2765145228412513,0.0,4.0,-0.0014039597008377314,0.00023485931160394102,0.0,0.0,,-2.6272788854923097e-16,4.3949872802730774e-17,0.020272260531783104,0.11147316545248032,0.0,0.0,10.389765739440918,9.921070098876953,0.10011672512827413,0.0005498316022567451,0.0019537911284714937,0.0003450813819654286,0.00011022204853361472,0.0,0.0,,,45.34444808959961,85.92298889160156,42.619476318359375,25.553590774536133,52.979698181152344,23.255640029907227,2.7511770725250244,12.301335334777832,2.650881290435791,
S,2,S_s2.json,S_s2.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,40.5,0.0,,,0.0,2.2605254946981335,0.0,4.0,0.0015227508265525103,0.03931226208806038,0.0,0.0,,2.849770617934373e-16,0.020183121785521507,0.06187635660171509,0.33477920293807983,0.0,0.0,10.763790130615234,9.774291038513184,0.11523714729833205,0.11010657250881195,0.10858381539583206,0.05908486619591713,0.0197726022452116,0.0,0.0,,,42.181800842285156,88.02079010009766,42.50554656982422,23.379188537597656,53.066734313964844,23.677810668945312,2.330993890762329,12.717406272888184,2.72218656539917,
S,3,S_s3.json,S_s3.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,52.7,0.0,,,0.0,-1.5170316791082932,0.0,4.0,0.0003167291870340705,0.03327946364879608,0.0,0.0,,5.927115033645437e-17,2.1524326917175818e-14,0.04740413650870323,0.08810531347990036,0.0,0.0,10.167732238769531,9.912832260131836,0.10496649306852276,0.0011477615917101502,0.0008310325210914016,0.06585586816072464,0.03257640823721886,0.0,0.0,,,47.89202117919922,83.85025024414062,42.36014938354492,27.444616317749023,51.28111267089844,23.39030647277832,3.6509954929351807,11.194552421569824,2.591993808746338,
S,4,S_s4.json,S_s4.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,77.5,0.0,,,0.0,2.848747440227621,0.0,4.0,0.0001945422700373456,7.48194070183672e-05,0.0,0.0,,3.640535365025917e-17,1.4001194883401243e-17,0.0093920873478055,0.011950095184147358,0.0,0.0,10.710079193115234,9.910940170288086,0.10253889125675644,0.00023146739113144577,3.692512109410018e-05,0.00014288017700891942,6.806078454246745e-05,0.0,0.0,,,46.60325622558594,82.0473403930664,42.81235122680664,26.071565628051758,49.782188415527344,23.924028396606445,3.132979393005371,10.890358924865723,2.858109474182129,
S,5,S_s5.json,S_s5.json#0,cuda,NVIDIA B200,,raw,,ef23cc27bea13be7f6a96f3c04fd3737,61.4,0.0,,,0.0,2.8004094337446257,0.0,4.0,0.0010218559764325619,-0.004071355797350407,0.0,0.0,,1.9122299503346844e-16,-7.618846955337658e-16,0.02287607081234455,0.0465184710919857,0.0,0.0,11.369462966918945,9.645230293273926,0.10466012532484259,0.0010333178797736764,1.1461993381089997e-05,0.00021893513621762395,0.004290290642529726,0.0,0.0,,,43.085636138916016,84.8783950805664,42.921661376953125,24.443655014038086,51.93092346191406,24.00865936279297,2.386162042617798,11.526276588439941,2.863872528076172,
V-,0,V-_s0.json,V-_s0.json#0,cuda,NVIDIA B200,,instrumented,sided_turn_afferent,ef23cc27bea13be7f6a96f3c04fd3737,89.8,0.0,,,0.0,6.964486266304056,0.0,4.0,-1.4626951217651367,0.04659542813897133,0.0,18.139333724975586,-44.65226745605469,-0.048899829387664795,0.03132626414299011,0.03594354912638664,0.5269989967346191,18.139333724975586,0.0,10.150867462158203,9.607048034667969,0.10393043365071933,8.744770525481727e-07,1.4626960754394531,0.046722009778022766,0.00012658776540774852,0.0,0.0,0.0,44.65226745605469,43.737911224365234,85.47807312011719,41.128902435302734,23.774778366088867,52.332515716552734,23.296844482421875,2.510136365890503,11.856860160827637,2.4345531463623047,
V-,1,V-_s1.json,V-_s1.json#0,cuda,NVIDIA B200,,instrumented,sided_turn_afferent,ef23cc27bea13be7f6a96f3c04fd3737,75.7,0.0,,,0.0,2.2765145228412513,0.0,4.0,-1.7746840715408325,0.00023485931160394102,0.0,16.961923599243164,-41.9163932800293,-0.08088457584381104,0.027097351849079132,0.024336865171790123,0.6555898189544678,16.961923599243164,0.0,10.389765739440918,9.921070098876953,0.10011672512827413,0.0005498316022567451,1.7752339839935303,0.0003450813819654286,0.00011022204853361472,0.0,0.0,0.0,41.9163932800293,45.34444808959961,85.92298889160156,42.166996002197266,25.553590774536133,52.979698181152344,23.17540740966797,2.7511770725250244,12.301335334777832,2.7173373699188232,
V-,2,V-_s2.json,V-_s2.json#0,cuda,NVIDIA B200,,instrumented,sided_turn_afferent,ef23cc27bea13be7f6a96f3c04fd3737,89.8,0.0,,,0.0,2.263558742256427,0.0,4.0,-2.3811194896698,0.08516143262386322,0.0,17.81069564819336,-42.567283630371094,-0.2539295256137848,0.020946377888321877,0.10433419048786163,1.0876613855361938,17.81069564819336,0.0,10.763790130615234,9.846065521240234,0.11788757439837422,0.11010657250881195,2.4912259578704834,0.15258170664310455,0.06742027401924133,0.0,0.0,0.0,42.567283630371094,42.181800842285156,88.02079010009766,42.420772552490234,23.379188537597656,53.066734313964844,24.249595642089844,2.330993890762329,12.717406272888184,2.827648878097534,
V-,3,V-_s3.json,V-_s3.json#0,cuda,NVIDIA B200,,instrumented,sided_turn_afferent,ef23cc27bea13be7f6a96f3c04fd3737,86.4,0.0,,,0.0,-1.5170316791082932,0.0,4.0,-2.120272636413574,0.032464731484651566,0.0,18.357481002807617,-44.974185943603516,-0.0028435667045414448,0.03133859485387802,0.03238543123006821,0.7247086763381958,18.357481002807617,0.0,10.167732238769531,9.912832260131836,0.10496649306852276,0.0011477615917101502,2.121420383453369,0.03258272260427475,0.00011798827472375706,0.0,0.0,0.0,44.974185943603516,47.89202117919922,83.85025024414062,42.3549690246582,27.444616317749023,51.28111267089844,23.686159133911133,3.6509954929351807,11.194552421569824,2.5951344966888428,
