arm,key,seeds,files,run_ids,values,mean,sd,n
S,epg_out_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","9.6129,9.9211,9.7743,9.9128,9.9109,9.6452",9.796207904815674,0.14088129844167369,6
S,vs_post_all,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.1037,0.1001,0.1152,0.1050,0.1025,0.1047",0.10520814215975482,0.005218688672915905,6
S,GLNO_L_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0005,0.1101,0.0011,0.0002,0.0010",0.018844970908456087,0.04471107409493916,6
S,GLNO_R_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0018,0.0020,0.1086,0.0008,0.0000,0.0000",0.0188740715413284,0.043956592948831016,6
S,PEN_L_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0323,0.0003,0.0591,0.0659,0.0001,0.0002",0.02632876990780157,0.030704671757498973,6
S,PEN_R_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0001,0.0001,0.0198,0.0326,0.0001,0.0043",0.009490695287240669,0.013639485257177989,6
S,DNa02_L_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,DNa02_R_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,AFF_L_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
S,AFF_R_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
S,ExR6_mean_pre,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","43.7379,45.3444,42.1818,47.8920,46.6033,43.0856",44.807512283325195,2.192279906789913,6
S,ExR6_mean_during,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","85.4781,85.9230,88.0208,83.8503,82.0473,84.8784",85.03297297159831,2.01266107141052,6
S,ExR6_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","41.3201,42.6195,42.5055,42.3601,42.8124,42.9217",42.42321904500326,0.5772257636415636,6
S,ER6_mean_pre,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","23.7748,25.5536,23.3792,27.4446,26.0716,24.4437",25.11123243967692,1.5358610770719494,6
S,ER6_mean_during,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","52.3325,52.9797,53.0667,51.2811,49.7822,51.9309",51.89552879333496,1.2315088883677103,6
S,ER6_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","23.0874,23.2556,23.6778,23.3903,23.9240,24.0087",23.557307879130047,0.37213631783396944,6
S,ER4m_mean_pre,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","2.5101,2.7512,2.3310,3.6510,3.1330,2.3862",2.793740709622701,0.5123410432446291,6
S,ER4m_mean_during,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","11.8569,12.3013,12.7174,11.1946,10.8904,11.5263",11.747798283894857,0.6853893072071211,6
S,ER4m_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","2.4457,2.6509,2.7222,2.5920,2.8581,2.8639",2.6887847185134888,0.16146505374400372,6
V-,survival_s,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
