arm,key,n_seeds,n_exactly_equal,max_abs_diff,cx9_values,reference_values,cx9_device,reference_device
S,PS196b_L_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,PS196b_R_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,epg_in_mean_post,6,6,0.0,"10.1509,10.3898,10.7638,10.1677,10.7101,11.3695","10.1509,10.3898,10.7638,10.1677,10.7101,11.3695","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,epg_out_mean_post,6,6,0.0,"9.6129,9.9211,9.7743,9.9128,9.9109,9.6452","9.6129,9.9211,9.7743,9.9128,9.9109,9.6452","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,vs_post_all,6,6,0.0,"0.1037,0.1001,0.1152,0.1050,0.1025,0.1047","0.1037,0.1001,0.1152,0.1050,0.1025,0.1047","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,GLNO_L_hz_turn,6,6,0.0,"0.0000,0.0005,0.1101,0.0011,0.0002,0.0010","0.0000,0.0005,0.1101,0.0011,0.0002,0.0010","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,GLNO_R_hz_turn,6,6,0.0,"0.0018,0.0020,0.1086,0.0008,0.0000,0.0000","0.0018,0.0020,0.1086,0.0008,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,PEN_L_hz_turn,6,6,0.0,"0.0323,0.0003,0.0591,0.0659,0.0001,0.0002","0.0323,0.0003,0.0591,0.0659,0.0001,0.0002","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,PEN_R_hz_turn,6,6,0.0,"0.0001,0.0001,0.0198,0.0326,0.0001,0.0043","0.0001,0.0001,0.0198,0.0326,0.0001,0.0043","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,DNa02_L_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,DNa02_R_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,AFF_L_hz_turn,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,AFF_R_hz_turn,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ExR6_mean_pre,6,6,0.0,"43.7379,45.3444,42.1818,47.8920,46.6033,43.0856","43.7379,45.3444,42.1818,47.8920,46.6033,43.0856","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ExR6_mean_during,6,6,0.0,"85.4781,85.9230,88.0208,83.8503,82.0473,84.8784","85.4781,85.9230,88.0208,83.8503,82.0473,84.8784","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ExR6_mean_post,6,6,0.0,"41.3201,42.6195,42.5055,42.3601,42.8124,42.9217","41.3201,42.6195,42.5055,42.3601,42.8124,42.9217","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER6_mean_pre,6,6,0.0,"23.7748,25.5536,23.3792,27.4446,26.0716,24.4437","23.7748,25.5536,23.3792,27.4446,26.0716,24.4437","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER6_mean_during,6,6,0.0,"52.3325,52.9797,53.0667,51.2811,49.7822,51.9309","52.3325,52.9797,53.0667,51.2811,49.7822,51.9309","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER6_mean_post,6,6,0.0,"23.0874,23.2556,23.6778,23.3903,23.9240,24.0087","23.0874,23.2556,23.6778,23.3903,23.9240,24.0087","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER4m_mean_pre,6,6,0.0,"2.5101,2.7512,2.3310,3.6510,3.1330,2.3862","2.5101,2.7512,2.3310,3.6510,3.1330,2.3862","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER4m_mean_during,6,6,0.0,"11.8569,12.3013,12.7174,11.1946,10.8904,11.5263","11.8569,12.3013,12.7174,11.1946,10.8904,11.5263","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,ER4m_mean_post,6,6,0.0,"2.4457,2.6509,2.7222,2.5920,2.8581,2.8639","2.4457,2.6509,2.7222,2.5920,2.8581,2.8639","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,survival_s,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,bump_hz_post,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,width_half_post,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,frac_confined_post,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,bump_follow_wedges_per_s,6,6,0.0,"6.9784,9.9647,2.2605,-1.5135,2.7974,2.8349","6.9784,9.9647,2.2605,-1.5135,2.7974,2.8349","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,bump_follow_confined_frac,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,bump_follow_ideal_wedges_per_s,6,6,0.0,"4.0000,4.0000,4.0000,4.0000,4.0000,4.0000","4.0000,4.0000,4.0000,4.0000,4.0000,4.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,GLNO_LR_hz,6,6,0.0,"2.0053,2.6428,2.2497,0.8462,2.6170,2.9488","2.0053,2.6428,2.2497,0.8462,2.6170,2.9488","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PEN_LR_hz,6,6,0.0,"0.0306,0.0823,0.0379,0.0327,-0.0154,-0.0472","0.0306,0.0823,0.0379,0.0327,-0.0154,-0.0472","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,DNa02_LR_hz,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PS196b_LR_hz,6,6,0.0,"-18.6666,-18.0815,-18.3178,-14.8798,-19.9797,-19.0456","-18.6666,-18.0815,-18.3178,-14.8798,-19.9797,-19.0456","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,AFF_LR_hz,6,6,0.0,"43.3540,43.4948,41.8607,38.0538,45.3305,43.5896","43.3540,43.4948,41.8607,38.0538,45.3305,43.5896","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
