arm,AFF_LR_hz,AFF_L_hz_turn,AFF_R_hz_turn,DNa02_LR_hz,DNa02_L_hz_turn,DNa02_R_hz_turn,ER4m_mean_during,ER4m_mean_post,ER4m_mean_pre,ER6_mean_during,ER6_mean_post,ER6_mean_pre,ExR6_mean_during,ExR6_mean_post,ExR6_mean_pre,GLNO_LR_hz,GLNO_LR_hz_rest,GLNO_L_hz_turn,GLNO_R_hz_turn,GLNO_mean_post,PEN_LR_hz,PEN_LR_hz_rest,PEN_L_hz_turn,PEN_R_hz_turn,PEN_mean_post,PS196b_LR_hz,PS196b_L_hz_turn,PS196b_R_hz_turn,bump_follow_confined_frac,bump_follow_ideal_wedges_per_s,bump_follow_wedges_per_s,epg_in_mean_post,epg_out_mean_post,frac_confined_post,survival_s,vs_post_all
S,,,,0.0,0.0,0.0,11.747798283894857,2.6887847185134888,2.793740709622701,51.89552879333496,23.557307879130047,25.11123243967692,85.03297297159831,42.42321904500326,44.807512283325195,-2.9101650094768654e-05,-5.442470684785856e-18,0.018844970908456087,0.0188740715413284,0.1123716199460129,0.016838074660578666,0.00331596735244343,0.02632876990780157,0.009490695287240669,0.03300792615239819,0.0,0.0,0.0,0.0,4.0,2.605608579784566,10.591949621836344,9.796207904815674,0.0,0.0,0.10520814215975482
V,42.61391957600912,42.61391957600912,0.0,0.0,0.0,0.0,11.747798283894857,2.791834910710653,2.793740709622701,51.89552879333496,24.06235631306966,25.11123243967692,85.03297297159831,41.9424680074056,44.807512283325195,2.2182983458042145,0.12487079001342256,2.5931480824947357,0.374849779779197,1.0101922551790874,0.02014548098668456,0.0070552335868718785,0.13173719060917696,0.11159171567608912,0.09681095803777377,-18.16184933980306,0.0,18.16184933980306,0.0,4.0,3.887096120319036,10.627357959747314,9.86512549718221,0.0,0.0,0.1072097288982299
V-,-44.254425684611,0.0,44.254425684611,0.0,0.0,0.0,11.747798283894857,2.7389516035715737,2.793740709622701,51.89552879333496,23.731938044230144,25.11123243967692,85.03297297159831,42.20186805725098,44.807512283325195,-2.066537360350291,-0.08630856780412917,0.018844970908456087,2.085382342338562,0.7452703714370728,0.0317914061039725,0.01846544243417725,0.04655905678130997,0.014767651020520134,0.04137515788897872,18.006098747253418,18.006098747253418,0.0,0.0,4.0,2.6064024176141714,10.615703264872232,9.809078057607016,0.0,0.0,0.10591471280750804
