type,malecns,fafb,banc,male_specific_annotated_cells,malecns_fruDsx,evidence
AN_GNG_102,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_103,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_104,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_110,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_115,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_116,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_119,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_120,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_121,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_123,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_124,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_125,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_126,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_129,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_130,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_135,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_137,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_138,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_139,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_143,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_147,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_148,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_149,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_15,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_152,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_154,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_159,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_161,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_162,0,8,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_163,0,7,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_164,0,11,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_165,0,38,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_166,0,11,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_168,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_169,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_17,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_172,0,16,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_173,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_174,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_175,0,27,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_176,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_177,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_179,0,8,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_182,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_183,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_184,0,7,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_189,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_190,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_192,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_194,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_196,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_197,0,15,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_200,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_204,0,8,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_48,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_52,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_55,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_61,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_62,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_63,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_69,0,11,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_75,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_77,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_78,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_84,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_86,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_88,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_90,0,3,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_94,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_95,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_99,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_FLA_4,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_FLA_5,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_13,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_14,0,7,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_15,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_16,0,3,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_18,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_19,0,10,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_20,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_IPS_4,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SAD_1,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SAD_22,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SAD_25,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SAD_26,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SAD_32,0,8,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_SPS_1,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_VES_10,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_GNG_VES_7,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_IPS_1,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_IPS_GNG_4,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_IPS_GNG_6,0,13,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_IPS_GNG_7,0,12,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_IPS_LAL_1,0,6,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_SMP_1,0,5,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_SMP_2,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_SMP_3,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_SMP_FLA_1,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_101,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_104,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_107,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_119,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_120,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_121,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_124,0,10,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_125,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_128,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_44,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_74,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_96,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_98,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN_multi_99,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU008a,0,8,5,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU008b,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU008c,0,4,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU008d,0,8,12,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU015a,0,4,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU063a,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU063b,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AOTU100m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AOTU101m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AOTU103m,4,0,0,4,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
APDN3,0,12,7,0,,female name unmatched in MaleCNS; sex specificity unestablished
ATL010,0,4,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP/PVLP_pr01,0,1,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP006a,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP006b,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP008,0,10,8,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP010,0,8,7,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP011,0,9,15,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP069,0,13,15,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP100,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP143a,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP143b,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP194,0,3,5,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP194_b,0,4,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP194_c,0,7,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP205b,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP206_a,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP207,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP219,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP234a,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP234b,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP261,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP270,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP273,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP286,0,2,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP313,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP380a,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP380b,0,4,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP386,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP419b,0,4,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP441,0,8,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP454_a,0,10,12,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP454_b,0,10,9,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP458,0,1,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP469a,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP469b,0,6,8,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP510,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP548_f,0,4,7,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP559a,0,4,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP559b,0,3,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP559c,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP568,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP569,0,4,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP570,0,4,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AVLP700m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP702m,4,0,0,4,dsx_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP703m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP704m,3,0,0,3,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
